tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31998,39106,1.22,32183,1.01,102121,3.19,0,0.00,0,0.00
2,3408,3803,1.12,6259,1.84,30552,8.96,20,0.01,0,0.00
3,4188,6213,1.48,5158,1.23,64053,15.29,2712,0.65,19,0.00
4,103,81,0.79,104,1.01,1957,19.00,28,0.27,18,0.17
5,859,1456,1.69,706,0.82,24581,28.62,2024,2.36,32,0.04
6,36,91,2.53,83,2.31,1604,44.56,373,10.36,30,0.83
7,198,599,3.03,221,1.12,9142,46.17,2549,12.87,39,0.20
8,42,60,1.43,34,0.81,2274,54.14,77,1.83,69,1.64
9,47,149,3.17,25,0.53,3159,67.21,604,12.85,53,1.13
10,19,27,1.42,15,0.79,1872,98.53,39,2.05,39,2.05
11,40,95,2.38,54,1.35,4446,111.15,165,4.12,24,0.60
12,15,70,4.67,13,0.87,1667,111.13,478,31.87,0,0.00
13,12,49,4.08,12,1.00,1887,157.25,297,24.75,30,2.50
14,13,46,3.54,12,0.92,2998,230.62,163,12.54,9,0.69
15,13,53,4.08,16,1.23,1587,122.08,350,26.92,56,4.31
16,13,20,1.54,14,1.08,2656,204.31,76,5.85,11,0.85
17,143,465,3.25,289,2.02,36643,256.24,4606,32.21,21,0.15
18,62,80,1.29,62,1.00,11442,184.55,393,6.34,818,13.19
19,6,41,6.83,14,2.33,1602,267.00,504,84.00,18,3.00
20,2,13,6.50,2,1.00,671,335.50,120,60.00,0,0.00
21,11,66,6.00,31,2.82,3128,284.36,685,62.27,42,3.82
22,8,18,2.25,6,0.75,822,102.75,38,4.75,98,12.25
23,19,107,5.63,30,1.58,6736,354.53,1636,86.11,0,0.00
24,24,98,4.08,23,0.96,9199,383.29,1610,67.08,0,0.00
25,7,73,10.43,25,3.57,1931,275.86,1482,211.71,24,3.43
26,6,31,5.17,9,1.50,2450,408.33,281,46.83,41,6.83
27,5,70,14.00,20,4.00,2431,486.20,1127,225.40,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,3,70,23.33,27,9.00,1420,473.33,1695,565.00,0,0.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,41,141,3.44,29,0.71,28177,687.24,2101,51.24,936,22.83
32,2,19,9.50,2,1.00,1189,594.50,406,203.00,31,15.50
33,26,192,7.38,64,2.46,16861,648.50,2942,113.15,23,0.88
34,4,26,6.50,3,0.75,2725,681.25,559,139.75,65,16.25
35,7,66,9.43,23,3.29,4929,704.14,1802,257.43,32,4.57
36,3,23,7.67,2,0.67,943,314.33,534,178.00,57,19.00
37,8,103,12.88,27,3.38,5653,706.62,2375,296.88,108,13.50
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,7,63,9.00,7,1.00,4908,701.14,1323,189.00,0,0.00
41,10,86,8.60,38,3.80,5597,559.70,2784,278.40,112,11.20
42,2,25,12.50,2,1.00,1618,809.00,712,356.00,41,20.50
43,22,270,12.27,38,1.73,19338,879.00,4020,182.73,200,9.09
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,3,70,23.33,23,7.67,2366,788.67,2823,941.00,19,6.33
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
47,12,182,15.17,34,2.83,11379,948.25,3881,323.42,46,3.83
48,1,22,22.00,1,1.00,521,521.00,924,924.00,0,0.00
49,3,96,32.00,24,8.00,1714,571.33,4395,1465.00,0,0.00
50,3,29,9.67,4,1.33,1550,516.67,1083,361.00,84,28.00
51,1,50,50.00,25,25.00,1139,1139.00,2438,2438.00,0,0.00
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,59,29.50,27,13.50,1371,685.50,2648,1324.00,0,0.00
54,1,3,3.00,0,0.00,2012,2012.00,43,43.00,45,45.00
55,2,2,1.00,0,0.00,3860,1930.00,96,48.00,108,54.00
57,3,26,8.67,6,2.00,5453,1817.67,495,165.00,112,37.33
59,3,14,4.67,5,1.67,4570,1523.33,175,58.33,118,39.33
60,11,33,3.00,11,1.00,10153,923.00,2002,182.00,0,0.00
63,1,9,9.00,1,1.00,1691,1691.00,128,128.00,34,34.00
64,1,7,7.00,2,2.00,229,229.00,19,19.00,50,50.00
66,4,5,1.25,5,1.25,4854,1213.50,240,60.00,139,34.75
67,5,118,23.60,17,3.40,9637,1927.40,3577,715.40,25,5.00
68,2,5,2.50,1,0.50,2458,1229.00,270,135.00,67,33.50
74,1,2,2.00,0,0.00,1732,1732.00,153,153.00,73,73.00
76,1,14,14.00,1,1.00,3458,3458.00,360,360.00,0,0.00
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
81,5,69,13.80,9,1.80,11837,2367.40,2469,493.80,0,0.00
82,1,15,15.00,1,1.00,218,218.00,25,25.00,76,76.00
86,2,9,4.50,3,1.50,1525,762.50,70,35.00,167,83.50
87,24,82,3.42,28,1.17,53965,2248.54,3416,142.33,1505,62.71
88,2,9,4.50,6,3.00,2397,1198.50,273,136.50,61,30.50
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
95,1,7,7.00,1,1.00,1960,1960.00,130,130.00,94,94.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,2,27,13.50,0,0.00,5192,2596.00,329,164.50,195,97.50
100,1,18,18.00,1,1.00,4959,4959.00,639,639.00,0,0.00
102,1,8,8.00,0,0.00,3635,3635.00,193,193.00,101,101.00
104,1,2,2.00,3,3.00,4453,4453.00,276,276.00,0,0.00
105,1,0,0.00,0,0.00,0,0.00,0,0.00,80,80.00
108,1,2,2.00,1,1.00,1527,1527.00,60,60.00,104,104.00
109,2,76,38.00,6,3.00,10236,5118.00,2286,1143.00,0,0.00
113,1,2,2.00,0,0.00,4256,4256.00,70,70.00,112,112.00
114,1,6,6.00,3,3.00,2564,2564.00,158,158.00,0,0.00
116,1,3,3.00,0,0.00,4374,4374.00,479,479.00,115,115.00
119,1,2,2.00,4,4.00,8731,8731.00,563,563.00,0,0.00
120,1,24,24.00,1,1.00,2462,2462.00,365,365.00,55,55.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
127,2,66,33.00,17,8.50,8490,4245.00,2504,1252.00,74,37.00
130,1,3,3.00,1,1.00,1878,1878.00,64,64.00,126,126.00
131,1,3,3.00,3,3.00,10057,10057.00,1020,1020.00,0,0.00
134,1,29,29.00,4,4.00,4146,4146.00,1385,1385.00,31,31.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,76,76.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
149,1,2,2.00,6,6.00,17413,17413.00,1200,1200.00,0,0.00
151,1,26,26.00,6,6.00,7213,7213.00,1170,1170.00,0,0.00
153,2,32,16.00,4,2.00,17980,8990.00,3460,1730.00,0,0.00
156,1,8,8.00,3,3.00,914,914.00,25,25.00,85,85.00
166,2,2,1.00,2,1.00,4674,2337.00,860,430.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
192,1,30,30.00,0,0.00,4351,4351.00,492,492.00,191,191.00
196,2,57,28.50,10,5.00,12401,6200.50,2824,1412.00,195,97.50
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,2877,2877.00,1128,1128.00,204,204.00
209,1,2,2.00,10,10.00,20271,20271.00,13840,13840.00,0,0.00
210,1,3,3.00,1,1.00,2958,2958.00,188,188.00,206,206.00
213,1,18,18.00,9,9.00,12293,12293.00,3205,3205.00,0,0.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1608,804.00,222,111.00
238,1,6,6.00,5,5.00,20982,20982.00,2130,2130.00,0,0.00
240,1,2,2.00,0,0.00,10588,10588.00,1204,1204.00,239,239.00
244,1,40,40.00,14,14.00,6542,6542.00,1778,1778.00,181,181.00
246,2,16,8.00,1,0.50,11611,5805.50,2246,1123.00,395,197.50
248,1,2,2.00,1,1.00,3417,3417.00,232,232.00,244,244.00
249,2,34,17.00,15,7.50,10361,5180.50,1782,891.00,330,165.00
250,1,13,13.00,0,0.00,29592,29592.00,7189,7189.00,249,249.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
254,1,11,11.00,2,2.00,40712,40712.00,4682,4682.00,250,250.00
266,1,1,1.00,1,1.00,3606,3606.00,272,272.00,262,262.00
268,1,46,46.00,1,1.00,14542,14542.00,5274,5274.00,242,242.00
272,1,4,4.00,1,1.00,4117,4117.00,2060,2060.00,0,0.00
288,2,4,2.00,2,1.00,7914,3957.00,2592,1296.00,568,284.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,13990,6995.00,17632,8816.00,252,126.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,17400,17400.00,7481,7481.00,290,290.00
325,1,56,56.00,12,12.00,15879,15879.00,4566,4566.00,29,29.00
328,1,2,2.00,1,1.00,4497,4497.00,368,368.00,324,324.00
329,1,31,31.00,8,8.00,1427,1427.00,217,217.00,328,328.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
334,1,18,18.00,11,11.00,44348,44348.00,4334,4334.00,0,0.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,456,456.00,346,346.00
364,1,62,62.00,1,1.00,20258,20258.00,10076,10076.00,338,338.00
366,1,1,1.00,1,1.00,5318,5318.00,3816,3816.00,0,0.00
370,1,3,3.00,1,1.00,5178,5178.00,564,564.00,306,306.00
372,1,4,4.00,1,1.00,5199,5199.00,564,564.00,368,368.00
382,1,65,65.00,19,19.00,14165,14165.00,5637,5637.00,0,0.00
386,1,1,1.00,1,1.00,5286,5286.00,616,616.00,322,322.00
388,2,68,34.00,2,1.00,28662,14331.00,15881,7940.50,0,0.00
408,1,2,2.00,1,1.00,5637,5637.00,720,720.00,344,344.00
410,1,3,3.00,1,1.00,5655,5655.00,4868,4868.00,409,409.00
412,1,70,70.00,1,1.00,24472,24472.00,13093,13093.00,0,0.00
419,1,16,16.00,0,0.00,68272,68272.00,9750,9750.00,418,418.00
430,2,6,3.00,2,1.00,12342,6171.00,6064,3032.00,366,183.00
436,1,74,74.00,1,1.00,25973,25973.00,14730,14730.00,0,0.00
443,1,0,0.00,0,0.00,0,0.00,0,0.00,442,442.00
446,1,1,1.00,1,1.00,6096,6096.00,864,864.00,382,382.00
448,1,2,2.00,1,1.00,6561,6561.00,5768,5768.00,0,0.00
460,1,78,78.00,1,1.00,27474,27474.00,16464,16464.00,0,0.00
468,1,2,2.00,1,1.00,6851,6851.00,6288,6288.00,0,0.00
487,1,83,83.00,1,1.00,29054,29054.00,18626,18626.00,0,0.00
494,1,5,5.00,1,1.00,6900,6900.00,1533,1533.00,490,490.00
511,1,87,87.00,1,1.00,28991,28991.00,20634,20634.00,493,493.00
535,1,91,91.00,1,1.00,32056,32056.00,22773,22773.00,0,0.00
557,1,88,88.00,32,32.00,59833,59833.00,7855,7855.00,471,471.00
559,1,95,95.00,1,1.00,33557,33557.00,24992,24992.00,0,0.00
583,1,99,99.00,1,1.00,35058,35058.00,27308,27308.00,0,0.00
817,1,103,103.00,1,1.00,29453,29453.00,8098,8098.00,761,761.00
881,1,0,0.00,0,0.00,0,0.00,0,0.00,880,880.00
1128,1,2,2.00,15,15.00,101423,101423.00,19362,19362.00,831,831.00
1745,1,141,141.00,24,24.00,84648,84648.00,26526,26526.00,1309,1309.00
2413,1,216,216.00,126,126.00,120637,120637.00,27041,27041.00,2223,2223.00
5613,1,642,642.00,9,9.00,361621,361621.00,89237,89237.00,4461,4461.00
12327,1,1453,1453.00,24,24.00,1632397,1632397.00,606700,606700.00,11510,11510.00
