build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
e132224-bsan,arrayvec-0.7.6,success,26.808,5.806,50,50,2026-07-29T18:30:08Z,1994937
e132224-bsan,cc-1.2.63,success,24.983,6.451,15,15,2026-07-29T18:30:18Z,1994935
e132224-bsan,csv-1.4.0,test_failed,51.296,2.171,141,0,2026-07-29T18:30:29Z,1994936
e132224-bsan,camino-1.2.2,success,27.840,2.881,5,5,2026-07-29T18:31:23Z,1994940
e132224-bsan,colored-3.1.1,test_failed,101.696,75.690,128,19,2026-07-29T18:34:09Z,1994939
e132224-bsan,errno-0.3.14,success,7.422,0.974,4,4,2026-07-29T18:34:52Z,1994947
e132224-bsan,core-foundation-sys-0.8.7,success,4.090,1.097,1,1,2026-07-29T18:35:11Z,1994948
e132224-bsan,bumpalo-3.20.3,success,188.452,1.238,5,5,2026-07-29T18:35:17Z,1994942
e132224-bsan,ansi_term-0.12.1,success,59.101,21.248,58,58,2026-07-29T18:35:44Z,1994946
e132224-bsan,bit-vec-0.9.1,success,30.359,44.916,58,58,2026-07-29T18:36:29Z,1994949
e132224-bsan,byteorder-1.5.0,success,45.871,12.023,290,290,2026-07-29T18:36:37Z,1994950
e132224-bsan,block-buffer-0.12.0,success,10.151,1.887,8,8,2026-07-29T18:36:51Z,1994953
e132224-bsan,anyhow-1.0.102,success,232.751,15.284,71,71,2026-07-29T18:37:25Z,1994945
e132224-bsan,bytemuck-1.25.0,success,18.880,9.912,32,32,2026-07-29T18:37:37Z,1994955
e132224-bsan,cpufeatures-0.3.0,success,5.031,3.235,2,2,2026-07-29T18:37:48Z,1994959
e132224-bsan,anstream-1.0.0,build_failed,10.935,0.000,0,0,2026-07-29T18:37:50Z,1994956
e132224-bsan,dashmap-6.2.1,build_failed,0.081,0.000,0,0,2026-07-29T18:38:13Z,1994960
e132224-bsan,bit-set-0.10.0,success,29.342,6.021,24,24,2026-07-29T18:38:48Z,1994962
e132224-bsan,dirs-sys-0.5.0,success,9.522,1.441,9,9,2026-07-29T18:38:55Z,1994963
e132224-bsan,anstyle-1.0.14,success,32.601,1.272,8,8,2026-07-29T18:39:47Z,1994964
e132224-bsan,atomic-waker-1.1.2,success,159.345,2.791,1,1,2026-07-29T18:40:22Z,1994957
e132224-bsan,bincode-2.0.1,success,275.060,157.789,60,60,2026-07-29T18:40:44Z,1994944
e132224-bsan,combine-4.6.7,build_failed,151.728,0.000,0,0,2026-07-29T18:41:14Z,1994954
e132224-bsan,async-lock-3.4.2,test_failed,47.764,1.986,2,0,2026-07-29T18:41:49Z,1994967
e132224-bsan,base64ct-1.8.3,success,73.812,263.737,50,50,2026-07-29T18:44:50Z,1994965
e132224-bsan,base16ct-1.0.0,success,5.795,1.913,10,10,2026-07-29T18:45:24Z,1994971
e132224-bsan,const-oid-0.10.2,success,133.118,53.647,27,27,2026-07-29T18:45:36Z,1994970
e132224-bsan,anstyle-query-1.1.5,success,9.541,0.891,3,3,2026-07-29T18:47:34Z,1994974
e132224-bsan,bindgen-0.72.1,success,341.391,6.239,28,28,2026-07-29T18:47:38Z,1994968
e132224-bsan,crc32fast-1.5.0,success,34.180,296.499,6,6,2026-07-29T18:51:23Z,1994973
