tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,6960,11336,1.63,11856,1.70,948537,136.28,481416,69.17,14675,2.11,27,0.00
2,1203,3643,3.03,3793,3.15,25119,20.88,2504,2.08,0,0.00,5,0.00
3,4570,8483,1.86,7283,1.59,135362,29.62,7995,1.75,864,0.19,9,0.00
4,4555,29620,6.50,30946,6.79,3513116,771.27,1902166,417.60,56396,12.38,24,0.01
5,5545,42241,7.62,44321,7.99,2219998,400.36,393224,70.92,17680,3.19,20,0.00
6,1158,6931,5.99,6574,5.68,50057,43.23,3489,3.01,0,0.00,6,0.01
7,1516,9614,6.34,8666,5.72,34719,22.90,2833,1.87,0,0.00,2,0.00
8,424,2513,5.93,2272,5.36,2260813,5332.11,1989056,4691.17,54135,127.68,7,0.02
9,607,4079,6.72,3539,5.83,29515,48.62,4330,7.13,0,0.00,2,0.00
10,7626,124597,16.34,134505,17.64,18153481,2380.47,6474476,849.00,176970,23.21,106,0.01
11,247,1387,5.62,1137,4.60,18879,76.43,1628,6.59,0,0.00,2,0.01
12,3815,19858,5.21,18431,4.83,180465,47.30,3855,1.01,0,0.00,19,0.00
13,328,2930,8.93,2660,8.11,29626,90.32,2815,8.58,0,0.00,3,0.01
14,150,1346,8.97,1196,7.97,33995,226.63,3571,23.81,0,0.00,3,0.02
15,5156,36017,6.99,28803,5.59,314924,61.08,10195,1.98,0,0.00,13,0.00
16,233,2547,10.93,2330,10.00,35489,152.31,2228,9.56,0,0.00,4,0.02
17,125,1184,9.47,969,7.75,17894,143.15,2490,19.92,0,0.00,0,0.00
18,137,1055,7.70,674,4.92,22984,167.77,2327,16.99,0,0.00,8,0.06
19,125,1891,15.13,1728,13.82,16722,133.78,2530,20.24,0,0.00,1,0.01
20,417,5712,13.70,4567,10.95,49215,118.02,2449,5.87,0,0.00,46,0.11
21,102,1283,12.58,792,7.76,16389,160.68,2377,23.30,0,0.00,2,0.02
22,61,512,8.39,445,7.30,10957,179.62,1209,19.82,0,0.00,9,0.15
23,62,508,8.19,302,4.87,13643,220.05,3815,61.53,0,0.00,6,0.10
24,111,1657,14.93,1358,12.23,20316,183.03,3930,35.41,0,0.00,7,0.06
25,194,1843,9.50,2005,10.34,44058,227.10,5014,25.85,0,0.00,4,0.02
26,41,432,10.54,243,5.93,14512,353.95,1974,48.15,0,0.00,0,0.00
27,65,1069,16.45,783,12.05,13699,210.75,4391,67.55,0,0.00,1,0.02
28,95,1435,15.11,1074,11.31,15037,158.28,2098,22.08,0,0.00,0,0.00
29,56,926,16.54,587,10.48,37972,678.07,6861,122.52,0,0.00,7,0.12
30,7999,114950,14.37,102806,12.85,980074,122.52,25594,3.20,0,0.00,336,0.04
31,21,255,12.14,115,5.48,5775,275.00,2776,132.19,0,0.00,0,0.00
32,42,558,13.29,520,12.38,11832,281.71,1087,25.88,0,0.00,4,0.10
33,21,257,12.24,122,5.81,9409,448.05,2303,109.67,0,0.00,4,0.19
34,21,418,19.90,373,17.76,6027,287.00,586,27.90,0,0.00,1,0.05
35,100,4294,42.94,883,8.83,37179,371.79,6370,63.70,0,0.00,0,0.00
36,57,985,17.28,501,8.79,17464,306.39,4562,80.04,0,0.00,11,0.19
37,21,407,19.38,296,14.10,10029,477.57,3069,146.14,0,0.00,0,0.00
38,21,358,17.05,191,9.10,7234,344.48,844,40.19,0,0.00,4,0.19
39,21,630,30.00,611,29.10,3626,172.67,634,30.19,0,0.00,0,0.00
40,176,5599,31.81,3238,18.40,41768,237.32,1584,9.00,0,0.00,30,0.17
41,14,218,15.57,132,9.43,6812,486.57,646,46.14,0,0.00,2,0.14
42,40,164,4.10,126,3.15,9834,245.85,1182,29.55,0,0.00,0,0.00
43,10,185,18.50,102,10.20,4440,444.00,1373,137.30,0,0.00,0,0.00
44,30,770,25.67,722,24.07,8133,271.10,1333,44.43,0,0.00,4,0.13
45,36,809,22.47,338,9.39,20455,568.19,5951,165.31,0,0.00,5,0.14
46,13,165,12.69,88,6.77,8775,675.00,2752,211.69,0,0.00,3,0.23
47,20,382,19.10,331,16.55,12370,618.50,2460,123.00,0,0.00,18,0.90
48,38,846,22.26,555,14.61,14011,368.71,3106,81.74,0,0.00,3,0.08
49,18,397,22.06,285,15.83,11544,641.33,2059,114.39,0,0.00,3,0.17
50,833,18927,22.72,16197,19.44,270780,325.07,26782,32.15,0,0.00,6,0.01
51,10,267,26.70,96,9.60,13383,1338.30,2363,236.30,0,0.00,2,0.20
52,33,795,24.09,447,13.55,15711,476.09,5840,176.97,0,0.00,5,0.15
53,5,154,30.80,83,16.60,3927,785.40,835,167.00,0,0.00,0,0.00
54,13,459,35.31,366,28.15,7462,574.00,1998,153.69,0,0.00,0,0.00
55,19,462,24.32,155,8.16,13258,697.79,1245,65.53,0,0.00,4,0.21
56,12,486,40.50,504,42.00,3526,293.83,428,35.67,0,0.00,0,0.00
57,7,112,16.00,74,10.57,7962,1137.43,288,41.14,0,0.00,0,0.00
58,7,200,28.57,90,12.86,2701,385.86,1972,281.71,0,0.00,0,0.00
59,20,518,25.90,352,17.60,13866,693.30,2225,111.25,0,0.00,1,0.05
60,58,1733,29.88,1328,22.90,22716,391.66,6225,107.33,0,0.00,0,0.00
61,10,209,20.90,153,15.30,6252,625.20,1178,117.80,0,0.00,12,1.20
62,6,124,20.67,91,15.17,4658,776.33,436,72.67,0,0.00,0,0.00
63,3,30,10.00,24,8.00,2199,733.00,322,107.33,0,0.00,9,3.00
64,14,879,62.79,886,63.29,1674,119.57,252,18.00,0,0.00,0,0.00
65,17,416,24.47,199,11.71,13717,806.88,1970,115.88,0,0.00,2,0.12
66,11,181,16.45,48,4.36,16022,1456.55,2248,204.36,0,0.00,2,0.18
67,4,138,34.50,125,31.25,3379,844.75,1085,271.25,0,0.00,1,0.25
68,23,745,32.39,276,12.00,12180,529.57,6295,273.70,0,0.00,8,0.35
69,9,388,43.11,265,29.44,6224,691.56,2019,224.33,0,0.00,25,2.78
70,261,13855,53.08,5642,21.62,128421,492.03,33634,128.87,0,0.00,4,0.02
71,4,56,14.00,26,6.50,3781,945.25,257,64.25,0,0.00,7,1.75
72,8,195,24.38,179,22.38,6855,856.88,915,114.38,0,0.00,0,0.00
73,1,36,36.00,1,1.00,466,466.00,2485,2485.00,0,0.00,0,0.00
74,4,281,70.25,296,74.00,0,0.00,0,0.00,0,0.00,0,0.00
75,13,583,44.85,242,18.62,22916,1762.77,9900,761.54,0,0.00,0,0.00
76,31,668,21.55,312,10.06,29836,962.45,7173,231.39,0,0.00,0,0.00
77,9,485,53.89,328,36.44,11116,1235.11,8371,930.11,0,0.00,0,0.00
78,13,455,35.00,80,6.15,6287,483.62,4690,360.77,0,0.00,0,0.00
79,13,762,58.62,599,46.08,9733,748.69,8421,647.77,0,0.00,0,0.00
80,34,1269,37.32,1060,31.18,21483,631.85,1434,42.18,0,0.00,56,1.65
81,1,14,14.00,2,2.00,1608,1608.00,152,152.00,0,0.00,0,0.00
82,3,60,20.00,29,9.67,3835,1278.33,521,173.67,0,0.00,0,0.00
83,1,34,34.00,9,9.00,852,852.00,161,161.00,0,0.00,0,0.00
84,33,1206,36.55,809,24.52,21227,643.24,7638,231.45,0,0.00,30,0.91
85,11,490,44.55,253,23.00,12704,1154.91,3369,306.27,0,0.00,4,0.36
86,2,6,3.00,9,4.50,1053,526.50,50,25.00,0,0.00,3,1.50
87,6,263,43.83,221,36.83,8492,1415.33,3716,619.33,0,0.00,0,0.00
88,7,237,33.86,49,7.00,3575,510.71,2730,390.00,62,8.86,2,0.29
89,10,456,45.60,106,10.60,14718,1471.80,9391,939.10,0,0.00,0,0.00
90,206,8855,42.99,4640,22.52,118253,574.04,57240,277.86,0,0.00,0,0.00
91,3,120,40.00,53,17.67,6221,2073.67,8732,2910.67,0,0.00,0,0.00
92,22,981,44.59,569,25.86,23459,1066.32,8323,378.32,0,0.00,30,1.36
93,3,131,43.67,76,25.33,3838,1279.33,1836,612.00,0,0.00,0,0.00
94,1,37,37.00,31,31.00,942,942.00,27,27.00,0,0.00,0,0.00
