tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,3605,6659,1.85,6031,1.67,94342,26.17,8903,2.47,288,0.08,17,0.00
2,860,3080,3.58,2836,3.30,89248,103.78,7534,8.76,576,0.67,11,0.01
3,2545,4755,1.87,4188,1.65,29572,11.62,947,0.37,0,0.00,1,0.00
4,1293,4695,3.63,4168,3.22,26104,20.19,1634,1.26,0,0.00,9,0.01
5,1285,4984,3.88,3969,3.09,39539,30.77,4392,3.42,0,0.00,6,0.00
6,1044,4862,4.66,3805,3.64,35399,33.91,3478,3.33,0,0.00,6,0.01
7,734,3908,5.32,3023,4.12,39257,53.48,4640,6.32,207,0.28,8,0.01
8,5761,67697,11.75,75395,13.09,184080,31.95,14484,2.51,1440,0.25,31,0.01
9,680,4361,6.41,3261,4.80,59886,88.07,7196,10.58,0,0.00,3,0.00
10,519,3602,6.94,2797,5.39,84850,163.49,9052,17.44,174,0.34,58,0.11
11,483,3446,7.13,2829,5.86,62328,129.04,6756,13.99,0,0.00,23,0.05
12,3373,60854,18.04,66333,19.67,4061022,1203.98,1053223,312.25,60936,18.07,41,0.01
13,3380,71346,21.11,75797,22.43,4392023,1299.42,1138689,336.89,66014,19.53,54,0.02
14,3053,64900,21.26,71732,23.50,4739042,1552.26,1226133,401.62,71092,23.29,54,0.02
15,340,3570,10.50,2708,7.96,57660,169.59,7632,22.45,0,0.00,9,0.03
16,529,7142,13.50,6268,11.85,49177,92.96,4574,8.65,0,0.00,11,0.02
17,305,3235,10.61,2826,9.27,94578,310.09,8374,27.46,576,1.89,18,0.06
18,3183,74794,23.50,77500,24.35,6097966,1915.79,1576500,495.29,91404,28.72,68,0.02
19,2772,74442,26.85,84077,30.33,6406817,2311.26,1660881,599.16,96482,34.81,63,0.02
20,486,13594,27.97,11486,23.63,45929,94.50,4826,9.93,0,0.00,10,0.02
21,463,10957,23.67,10753,23.22,49026,105.89,5135,11.09,0,0.00,4,0.01
22,469,12190,25.99,12012,25.61,96024,204.74,7859,16.76,673,1.43,12,0.03
23,292,4508,15.44,3746,12.83,65646,224.82,7587,25.98,0,0.00,12,0.04
24,3553,38455,10.82,35826,10.08,339759,95.63,7173,2.02,0,0.00,25,0.01
25,319,5970,18.71,5288,16.58,48959,153.48,6327,19.83,0,0.00,21,0.07
26,1084,46705,43.09,46075,42.50,38165,35.21,4522,4.17,0,0.00,23,0.02
27,833,39456,47.37,36763,44.13,301358,361.77,23458,28.16,2592,3.11,32,0.04
28,329,6717,20.42,5908,17.96,83301,253.19,10167,30.90,0,0.00,24,0.07
29,296,6211,20.98,5500,18.58,65457,221.14,7604,25.69,0,0.00,16,0.05
30,318,7503,23.59,6708,21.09,287079,902.76,24059,75.66,2304,7.25,38,0.12
31,315,10322,32.77,9696,30.78,690332,2191.53,53505,169.86,6304,20.01,36,0.11
32,1513,57062,37.71,54554,36.06,129236,85.42,8441,5.58,0,0.00,9,0.01
33,309,7454,24.12,6962,22.53,58236,188.47,7361,23.82,0,0.00,16,0.05
34,345,9399,27.24,8574,24.85,190596,552.45,18481,53.57,864,2.50,45,0.13
35,262,6075,23.19,5377,20.52,57480,219.39,6138,23.43,0,0.00,32,0.12
36,1676,31954,19.07,28267,16.87,458699,273.69,25535,15.24,2016,1.20,32,0.02
37,324,10749,33.18,9858,30.43,6371920,19666.42,5152458,15902.65,140751,434.42,39,0.12
38,387,9745,25.18,9037,23.35,6878337,17773.48,5549235,14339.11,151578,391.67,45,0.12
39,2165,35832,16.55,31439,14.52,352382,162.76,12371,5.71,0,0.00,29,0.01
40,490,10686,21.81,9921,20.25,136849,279.28,13759,28.08,0,0.00,42,0.09
41,232,6445,27.78,5511,23.75,64880,279.66,8089,34.87,0,0.00,31,0.13
42,1460,33653,23.05,28589,19.58,270776,185.46,14139,9.68,0,0.00,63,0.04
43,362,18100,50.00,16324,45.09,95135,262.80,11256,31.09,0,0.00,19,0.05
44,230,7344,31.93,6501,28.27,78997,343.47,11173,48.58,0,0.00,31,0.13
45,232,7009,30.21,5912,25.48,74282,320.18,9451,40.74,0,0.00,31,0.13
46,405,19121,47.21,18295,45.17,110085,271.81,10450,25.80,0,0.00,55,0.14
47,269,12529,46.58,11657,43.33,92807,345.01,13694,50.91,0,0.00,36,0.13
48,798,20088,25.17,14386,18.03,201475,252.47,16767,21.01,0,0.00,36,0.05
49,1017,31168,30.65,30760,30.25,249974,245.80,17192,16.90,0,0.00,38,0.04
50,972,34144,35.13,33626,34.59,195717,201.35,14545,14.96,0,0.00,34,0.03
51,369,18498,50.13,17094,46.33,159193,431.42,17975,48.71,0,0.00,11,0.03
52,187,5820,31.12,5347,28.59,73036,390.57,11067,59.18,0,0.00,24,0.13
53,917,29687,32.37,28994,31.62,196024,213.77,10722,11.69,0,0.00,27,0.03
54,2210,64531,29.20,47891,21.67,15039512,6805.21,11897919,5383.67,324810,146.97,68,0.03
55,155,4787,30.88,3894,25.12,66346,428.04,9629,62.12,0,0.00,19,0.12
56,269,8816,32.77,7605,28.27,85423,317.56,11833,43.99,0,0.00,21,0.08
57,1421,35834,25.22,30649,21.57,519648,365.69,29394,20.69,1728,1.22,34,0.02
58,194,6166,31.78,5520,28.45,9305437,47966.17,7528131,38804.80,205713,1060.38,55,0.28
59,177,5481,30.97,4372,24.70,243563,1376.06,24159,136.49,1440,8.14,33,0.19
60,965,25199,26.11,23529,24.38,279057,289.18,15034,15.58,0,0.00,17,0.02
61,166,5097,30.70,4112,24.77,85276,513.71,10239,61.68,0,0.00,61,0.37
62,129,4195,32.52,3543,27.47,61846,479.43,7883,61.11,0,0.00,17,0.13
63,351,18272,52.06,17141,48.83,150005,427.36,13696,39.02,0,0.00,25,0.07
64,135,5179,38.36,4099,30.36,82205,608.93,12886,95.45,0,0.00,23,0.17
65,397,20518,51.68,19949,50.25,230988,581.83,17263,43.48,576,1.45,21,0.05
66,720,25359,35.22,20528,28.51,213911,297.10,12935,17.97,0,0.00,29,0.04
67,158,8411,53.23,7556,47.82,69254,438.32,10385,65.73,0,0.00,13,0.08
68,472,34670,73.45,34069,72.18,149633,317.02,10711,22.69,0,0.00,14,0.03
69,916,34190,37.33,33822,36.92,294684,321.71,10580,11.55,0,0.00,23,0.03
70,186,9952,53.51,9807,52.73,112916,607.08,12913,69.42,0,0.00,30,0.16
71,142,8003,56.36,7127,50.19,74648,525.69,10100,71.13,0,0.00,34,0.24
72,214,12286,57.41,6994,32.68,153998,719.62,17023,79.55,0,0.00,48,0.22
73,894,39926,44.66,39539,44.23,248632,278.11,9161,10.25,0,0.00,22,0.02
74,82,2887,35.21,2179,26.57,56587,690.09,6768,82.54,0,0.00,32,0.39
75,653,24656,37.76,16574,25.38,225298,345.02,16385,25.09,0,0.00,50,0.08
76,66,2383,36.11,1724,26.12,49377,748.14,9716,147.21,0,0.00,9,0.14
77,62,2227,35.92,1844,29.74,44996,725.74,6630,106.94,0,0.00,28,0.45
78,153,5625,36.76,4907,32.07,67338,440.12,6460,42.22,0,0.00,11,0.07
79,77,3637,47.23,3311,43.00,164754,2139.66,17019,221.03,864,11.22,19,0.25
80,85,3916,46.07,2825,33.24,50852,598.26,9320,109.65,0,0.00,32,0.38
81,1656,65301,39.43,56670,34.22,575662,347.62,20335,12.28,0,0.00,39,0.02
82,50,1828,36.56,1487,29.74,36490,729.80,4855,97.10,0,0.00,41,0.82
83,61,2264,37.11,1683,27.59,45105,739.43,8653,141.85,0,0.00,34,0.56
84,75,2850,38.00,2325,31.00,44759,596.79,7777,103.69,0,0.00,37,0.49
85,92,4010,43.59,3424,37.22,275425,2993.75,25027,272.03,2016,21.91,43,0.47
86,65,2787,42.88,2287,35.18,57725,888.08,7194,110.68,0,0.00,15,0.23
87,57,1754,30.77,1317,23.11,44876,787.30,5815,102.02,79,1.39,34,0.60
88,105,4711,44.87,3711,35.34,184519,1757.32,22001,209.53,864,8.23,40,0.38
89,90,4450,49.44,3509,38.99,63670,707.44,10076,111.96,0,0.00,45,0.50
90,181,6488,35.85,6681,36.91,121250,669.89,9278,51.26,0,0.00,28,0.15
91,40,1615,40.38,1178,29.45,32019,800.48,5810,145.25,0,0.00,12,0.30
92,8480,1483788,174.97,1513160,178.44,158068604,18640.17,59691890,7039.14,1791148,211.22,849,0.10
93,718,31460,43.82,22848,31.82,278596,388.02,14988,20.87,0,0.00,12,0.02
94,79,4132,52.30,3034,38.41,63419,802.77,10873,137.63,0,0.00,27,0.34
95,342,26677,78.00,26763,78.25,224178,655.49,16015,46.83,0,0.00,30,0.09
96,914,30949,33.86,30243,33.09,355558,389.01,9937,10.87,0,0.00,27,0.03
97,40,1600,40.00,1393,34.83,32630,815.75,4658,116.45,0,0.00,40,1.00
98,65,3216,49.48,2808,43.20,6604085,101601.31,3871807,59566.26,127240,1957.54,61,0.94
99,96,4864,50.67,4057,42.26,69362,722.52,7314,76.19,0,0.00,34,0.35
100,60,2526,42.10,1842,30.70,44930,748.83,5670,94.50,0,0.00,32,0.53
101,45,1633,36.29,1351,30.02,45358,1007.96,5992,133.16,0,0.00,26,0.58
102,100,4934,49.34,4299,42.99,88178,881.78,8748,87.48,0,0.00,26,0.26
103,68,4279,62.93,3418,50.26,6633615,97553.16,3875108,56986.88,127240,1871.18,50,0.74
104,65,3636,55.94,2717,41.80,52049,800.75,11695,179.92,0,0.00,39,0.60
105,71,2850,40.14,2530,35.63,69299,976.04,9687,136.44,0,0.00,27,0.38
106,29,853,29.41,710,24.48,42179,1454.45,4873,168.03,0,0.00,21,0.72
107,39,2025,51.92,1849,47.41,54220,1390.26,7400,189.74,0,0.00,36,0.92
108,68,2900,42.65,1903,27.99,64558,949.38,12275,180.51,0,0.00,36,0.53
109,31,1623,52.35,1390,44.84,26806,864.71,2878,92.84,0,0.00,19,0.61
110,58,1956,33.72,1785,30.78,68302,1177.62,6869,118.43,0,0.00,20,0.34
111,683,37546,54.97,24729,36.21,331165,484.87,19779,28.96,0,0.00,48,0.07
112,91,6980,76.70,6144,67.52,101020,1110.11,9516,104.57,382,4.20,28,0.31
113,36,1476,41.00,987,27.42,52239,1451.08,6948,193.00,0,0.00,39,1.08
114,50,2018,40.36,1615,32.30,59306,1186.12,6774,135.48,0,0.00,25,0.50
115,52,2214,42.58,1590,30.58,67186,1292.04,12339,237.29,0,0.00,36,0.69
116,33,1723,52.21,1535,46.52,31304,948.61,4699,142.39,0,0.00,32,0.97
117,34,1401,41.21,921,27.09,29508,867.88,7508,220.82,0,0.00,38,1.12
118,32,1489,46.53,1212,37.88,149698,4678.06,14863,464.47,1152,36.00,67,2.09
119,20,926,46.30,684,34.20,28710,1435.50,4840,242.00,0,0.00,22,1.10
120,84,5178,61.64,3126,37.21,69149,823.20,24359,289.99,0,0.00,49,0.58
121,67,4514,67.37,3920,58.51,75346,1124.57,7855,117.24,0,0.00,23,0.34
122,49,1948,39.76,1281,26.14,63252,1290.86,10014,204.37,0,0.00,51,1.04
123,23,690,30.00,548,23.83,38042,1654.00,4146,180.26,0,0.00,20,0.87
124,39,1930,49.49,1482,38.00,47521,1218.49,5919,151.77,0,0.00,18,0.46
125,28,1521,54.32,1239,44.25,43393,1549.75,6403,228.68,0,0.00,25,0.89
126,104,15380,147.88,3385,32.55,126711,1218.38,16343,157.14,0,0.00,27,0.26
127,32,1461,45.66,975,30.47,59980,1874.38,14491,452.84,69,2.16,22,0.69
128,55,4750,86.36,4629,84.16,53482,972.40,7436,135.20,0,0.00,16,0.29
129,42,3457,82.31,2439,58.07,72076,1716.10,10555,251.31,0,0.00,6,0.14
130,49,2182,44.53,1703,34.76,57032,1163.92,10935,223.16,114,2.33,6,0.12
131,24,1238,51.58,867,36.12,36362,1515.08,4544,189.33,0,0.00,29,1.21
132,25,771,30.84,579,23.16,40300,1612.00,4880,195.20,0,0.00,16,0.64
133,42,2405,57.26,1685,40.12,61387,1461.60,12337,293.74,0,0.00,31,0.74
134,36,1738,48.28,1187,32.97,36056,1001.56,5541,153.92,0,0.00,15,0.42
135,12,526,43.83,427,35.58,13193,1099.42,4964,413.67,0,0.00,17,1.42
136,46,2926,63.61,1558,33.87,85090,1849.78,24830,539.78,0,0.00,12,0.26
137,21,1383,65.86,1037,49.38,42792,2037.71,6332,301.52,0,0.00,12,0.57
138,26,1674,64.38,1312,50.46,39377,1514.50,10671,410.42,0,0.00,10,0.38
139,37,3172,85.73,2749,74.30,51223,1384.41,7098,191.84,0,0.00,8,0.22
140,30,2499,83.30,1961,65.37,34561,1152.03,8933,297.77,109,3.63,11,0.37
141,40,2313,57.83,1345,33.62,59597,1489.92,10496,262.40,0,0.00,17,0.42
142,16,728,45.50,576,36.00,31065,1941.56,3372,210.75,0,0.00,9,0.56
143,56,4203,75.05,3763,67.20,82818,1478.89,22809,407.30,0,0.00,12,0.21
144,29,1163,40.10,841,29.00,48725,1680.17,12310,424.48,94,3.24,18,0.62
145,17,1221,71.82,887,52.18,35468,2086.35,7752,456.00,0,0.00,15,0.88
146,22,1019,46.32,740,33.64,57316,2605.27,10751,488.68,0,0.00,23,1.05
147,30,2790,93.00,2501,83.37,35686,1189.53,9857,328.57,0,0.00,14,0.47
148,16,813,50.81,540,33.75,39593,2474.56,8825,551.56,0,0.00,10,0.62
149,19,986,51.89,700,36.84,49659,2613.63,10478,551.47,0,0.00,7,0.37
150,101,5650,55.94,3706,36.69,108300,1072.28,30086,297.88,0,0.00,18,0.18
151,43,4069,94.63,3344,77.77,67903,1579.14,12579,292.53,96,2.23,9,0.21
152,38,2681,70.55,1687,44.39,63543,1672.18,26044,685.37,190,5.00,21,0.55
153,17,1092,64.24,770,45.29,45823,2695.47,9531,560.65,68,4.00,4,0.24
154,25,1820,72.80,1368,54.72,57565,2302.60,18643,745.72,0,0.00,5,0.20
155,14,699,49.93,447,31.93,34989,2499.21,9308,664.86,114,8.14,10,0.71
156,22,1269,57.68,919,41.77,48911,2223.23,13551,615.95,0,0.00,15,0.68
157,20,1912,95.60,1606,80.30,36184,1809.20,9589,479.45,114,5.70,0,0.00
158,14,643,45.93,416,29.71,38016,2715.43,12087,863.36,0,0.00,11,0.79
159,15,823,54.87,603,40.20,38787,2585.80,6274,418.27,0,0.00,28,1.87
160,39,1814,46.51,1925,49.36,65756,1686.05,5427,139.15,0,0.00,39,1.00
161,12,686,57.17,522,43.50,27943,2328.58,4909,409.08,71,5.92,36,3.00
162,32,2367,73.97,1541,48.16,66578,2080.56,22249,695.28,0,0.00,11,0.34
163,6,365,60.83,226,37.67,16507,2751.17,3881,646.83,0,0.00,0,0.00
164,23,2226,96.78,2185,95.00,44041,1914.83,5107,222.04,0,0.00,12,0.52
165,50,3056,61.12,2164,43.28,100266,2005.32,20190,403.80,111,2.22,10,0.20
166,66,6503,98.53,5462,82.76,114440,1733.94,24724,374.61,0,0.00,7,0.11
167,15,1336,89.07,775,51.67,25535,1702.33,10843,722.87,0,0.00,6,0.40
168,37,3217,86.95,2267,61.27,56295,1521.49,21235,573.92,0,0.00,37,1.00
169,19,1780,93.68,1276,67.16,40841,2149.53,14391,757.42,0,0.00,26,1.37
170,16,1219,76.19,803,50.19,36833,2302.06,12105,756.56,190,11.88,3,0.19
171,26,1838,70.69,1015,39.04,49109,1888.81,17104,657.85,109,4.19,15,0.58
172,23,1790,77.83,1064,46.26,50413,2191.87,14564,633.22,0,0.00,14,0.61
173,6,378,63.00,272,45.33,20389,3398.17,4170,695.00,0,0.00,0,0.00
174,12,582,48.50,370,30.83,26661,2221.75,4096,341.33,0,0.00,6,0.50
175,21,2258,107.52,1515,72.14,36409,1733.76,14273,679.67,0,0.00,7,0.33
176,25,2274,90.96,1903,76.12,64612,2584.48,8417,336.68,0,0.00,3,0.12
177,14,958,68.43,740,52.86,33243,2374.50,20204,1443.14,0,0.00,8,0.57
178,20,1324,66.20,651,32.55,55544,2777.20,16485,824.25,103,5.15,6,0.30
179,12,748,62.33,641,53.42,35566,2963.83,9466,788.83,0,0.00,9,0.75
180,35,2963,84.66,1751,50.03,60804,1737.26,17999,514.26,0,0.00,7,0.20
181,7,652,93.14,442,63.14,23387,3341.00,10639,1519.86,0,0.00,0,0.00
182,11,1501,136.45,983,89.36,19987,1817.00,11555,1050.45,143,13.00,2,0.18
183,17,1322,77.76,1112,65.41,38055,2238.53,7249,426.41,100,5.88,16,0.94
184,105,18584,176.99,16458,156.74,73350,698.57,27928,265.98,0,0.00,4,0.04
185,17,2088,122.82,1679,98.76,31913,1877.24,10934,643.18,0,0.00,5,0.29
186,17,1028,60.47,566,33.29,60958,3585.76,16980,998.82,0,0.00,16,0.94
187,9,430,47.78,331,36.78,22800,2533.33,5478,608.67,0,0.00,10,1.11
188,14,1767,126.21,1752,125.14,17639,1259.93,5360,382.86,0,0.00,0,0.00
189,13,1547,119.00,840,64.62,34091,2622.38,4885,375.77,0,0.00,7,0.54
190,26,2574,99.00,1888,72.62,50981,1960.81,11201,430.81,0,0.00,10,0.38
191,8,674,84.25,438,54.75,21617,2702.12,3083,385.38,0,0.00,1,0.12
192,30,2412,80.40,1372,45.73,101191,3373.03,21519,717.30,207,6.90,15,0.50
193,19,2145,112.89,1610,84.74,25185,1325.53,7189,378.37,0,0.00,2,0.11
194,9,615,68.33,481,53.44,22324,2480.44,5046,560.67,0,0.00,1,0.11
195,4,211,52.75,131,32.75,16725,4181.25,6407,1601.75,0,0.00,4,1.00
196,11,1223,111.18,1213,110.27,18653,1695.73,1248,113.45,103,9.36,6,0.55
197,13,997,76.69,866,66.62,27590,2122.31,3030,233.08,0,0.00,13,1.00
198,25,1324,52.96,704,28.16,50107,2004.28,7731,309.24,0,0.00,14,0.56
199,9,576,64.00,394,43.78,24553,2728.11,8550,950.00,0,0.00,25,2.78
200,20,2309,115.45,1210,60.50,24189,1209.45,29921,1496.05,0,0.00,3,0.15
201,10,701,70.10,415,41.50,27547,2754.70,4756,475.60,103,10.30,4,0.40
202,12,1213,101.08,1065,88.75,23485,1957.08,5319,443.25,0,0.00,18,1.50
203,10,1498,149.80,1536,153.60,5680,568.00,539,53.90,0,0.00,4,0.40
204,16,1916,119.75,1728,108.00,24906,1556.62,6714,419.62,0,0.00,8,0.50
205,7,302,43.14,252,36.00,23667,3381.00,2473,353.29,106,15.14,16,2.29
206,15,1328,88.53,547,36.47,33436,2229.07,19785,1319.00,89,5.93,0,0.00
207,8,618,77.25,429,53.62,22852,2856.50,5721,715.12,0,0.00,4,0.50
208,10,584,58.40,376,37.60,33791,3379.10,8215,821.50,0,0.00,15,1.50
209,11,313,28.45,299,27.18,26196,2381.45,1440,130.91,0,0.00,17,1.55
210,31,3188,102.84,2200,70.97,52005,1677.58,17331,559.06,106,3.42,18,0.58
211,13,1563,120.23,1352,104.00,27417,2109.00,2582,198.62,103,7.92,4,0.31
212,3,186,62.00,112,37.33,11767,3922.33,3593,1197.67,0,0.00,4,1.33
213,6,636,106.00,483,80.50,23429,3904.83,6604,1100.67,0,0.00,8,1.33
214,11,611,55.55,378,34.36,27302,2482.00,7034,639.45,103,9.36,14,1.27
215,11,654,59.45,528,48.00,37657,3423.36,12657,1150.64,228,20.73,16,1.45
216,30,3073,102.43,1618,53.93,63607,2120.23,39854,1328.47,0,0.00,8,0.27
217,8,755,94.38,288,36.00,23135,2891.88,5469,683.62,106,13.25,8,1.00
218,4,271,67.75,147,36.75,19440,4860.00,3542,885.50,0,0.00,0,0.00
219,17,1345,79.12,364,21.41,34052,2003.06,13470,792.35,103,6.06,10,0.59
220,8,908,113.50,554,69.25,35370,4421.25,9021,1127.62,0,0.00,5,0.62
221,11,1536,139.64,1416,128.73,25255,2295.91,9775,888.64,114,10.36,11,1.00
222,34,3075,90.44,1145,33.68,58202,1711.82,25218,741.71,0,0.00,2,0.06
223,21,2862,136.29,2442,116.29,51070,2431.90,10364,493.52,103,4.90,16,0.76
224,13,1723,132.54,1692,130.15,25908,1992.92,5606,431.23,125,9.62,4,0.31
225,3,229,76.33,190,63.33,5982,1994.00,293,97.67,0,0.00,4,1.33
226,5,354,70.80,180,36.00,11311,2262.20,3906,781.20,0,0.00,13,2.60
227,5,447,89.40,254,50.80,33188,6637.60,9410,1882.00,0,0.00,4,0.80
228,8,125,15.62,104,13.00,32189,4023.62,2089,261.12,0,0.00,33,4.12
229,12,1568,130.67,1549,129.08,26035,2169.58,5025,418.75,0,0.00,16,1.33
230,8,1117,139.62,989,123.62,30509,3813.62,7178,897.25,0,0.00,22,2.75
231,7,354,50.57,281,40.14,27802,3971.71,4613,659.00,326,46.57,13,1.86
232,43,5366,124.79,1699,39.51,443461,10313.05,85427,1986.67,90,2.09,16,0.37
233,9,806,89.56,507,56.33,41117,4568.56,11026,1225.11,106,11.78,31,3.44
234,23,2159,93.87,787,34.22,44523,1935.78,19445,845.43,86,3.74,19,0.83
235,3,153,51.00,94,31.33,13369,4456.33,2332,777.33,0,0.00,7,2.33
236,8,714,89.25,566,70.75,27083,3385.38,10497,1312.12,165,20.62,18,2.25
237,8,703,87.88,518,64.75,31997,3999.62,5414,676.75,0,0.00,20,2.50
238,4,419,104.75,374,93.50,10012,2503.00,653,163.25,0,0.00,6,1.50
239,5,310,62.00,218,43.60,14668,2933.60,4652,930.40,228,45.60,4,0.80
240,5,309,61.80,190,38.00,30843,6168.60,5382,1076.40,0,0.00,4,0.80
241,8,534,66.75,350,43.75,43087,5385.88,9689,1211.12,0,0.00,12,1.50
242,14,2218,158.43,1857,132.64,28499,2035.64,11439,817.07,0,0.00,17,1.21
243,11,705,64.09,346,31.45,41815,3801.36,11963,1087.55,114,10.36,13,1.18
244,5,360,72.00,287,57.40,31888,6377.60,5888,1177.60,0,0.00,10,2.00
245,12,1052,87.67,540,45.00,31566,2630.50,12183,1015.25,220,18.33,12,1.00
246,38,3403,89.55,2124,55.89,113519,2987.34,29760,783.16,220,5.79,17,0.45
247,10,1374,137.40,1131,113.10,37969,3796.90,11155,1115.50,0,0.00,14,1.40
248,19,2153,113.32,567,29.84,41336,2175.58,43420,2285.26,0,0.00,8,0.42
249,3,334,111.33,227,75.67,8655,2885.00,4943,1647.67,114,38.00,5,1.67
250,8,364,45.50,389,48.62,24487,3060.88,2412,301.50,114,14.25,20,2.50
251,5,447,89.40,391,78.20,28035,5607.00,6222,1244.40,0,0.00,10,2.00
252,5,402,80.40,247,49.40,19142,3828.40,6515,1303.00,228,45.60,8,1.60
253,8,403,50.38,262,32.75,26549,3318.62,7179,897.38,0,0.00,29,3.62
254,4,134,33.50,131,32.75,20093,5023.25,1469,367.25,0,0.00,22,5.50
255,7,335,47.86,236,33.71,28053,4007.57,5574,796.29,88,12.57,18,2.57
256,3,179,59.67,122,40.67,16013,5337.67,2389,796.33,106,35.33,8,2.67
257,4,226,56.50,157,39.25,15339,3834.75,1831,457.75,220,55.00,11,2.75
258,9,653,72.56,433,48.11,38964,4329.33,5502,611.33,212,23.56,8,0.89
259,10,1862,186.20,928,92.80,29656,2965.60,13588,1358.80,62,6.20,9,0.90
260,6,482,80.33,376,62.67,28782,4797.00,10245,1707.50,0,0.00,15,2.50
261,8,1513,189.12,1423,177.88,24833,3104.12,1865,233.12,0,0.00,6,0.75
262,12,1049,87.42,239,19.92,35344,2945.33,13817,1151.42,0,0.00,24,2.00
263,7,363,51.86,345,49.29,38788,5541.14,4172,596.00,202,28.86,17,2.43
264,17,1323,77.82,487,28.65,59635,3507.94,27538,1619.88,63,3.71,13,0.76
265,13,2213,170.23,1971,151.62,39454,3034.92,11427,879.00,123,9.46,24,1.85
266,26,2476,95.23,1828,70.31,90851,3494.27,15920,612.31,0,0.00,11,0.42
267,10,1118,111.80,819,81.90,52004,5200.40,7396,739.60,0,0.00,18,1.80
268,6,410,68.33,319,53.17,32550,5425.00,11276,1879.33,116,19.33,24,4.00
269,11,1747,158.82,1221,111.00,38815,3528.64,14907,1355.18,106,9.64,8,0.73
270,12,1421,118.42,469,39.08,34164,2847.00,20417,1701.42,212,17.67,4,0.33
271,8,1070,133.75,413,51.62,19929,2491.12,13060,1632.50,0,0.00,4,0.50
272,13,1459,112.23,554,42.62,64606,4969.69,9457,727.46,366,28.15,19,1.46
273,3,461,153.67,229,76.33,4626,1542.00,1520,506.67,0,0.00,0,0.00
274,2,120,60.00,115,57.50,10601,5300.50,1358,679.00,0,0.00,54,27.00
275,8,493,61.62,348,43.50,45751,5718.88,4899,612.38,220,27.50,13,1.62
276,8067,1078737,133.72,952898,118.12,9030155,1119.39,237650,29.46,0,0.00,2947,0.37
278,26,2709,104.19,2042,78.54,89933,3458.96,14450,555.77,106,4.08,2,0.08
279,1,45,45.00,34,34.00,2621,2621.00,210,210.00,0,0.00,4,4.00
280,12,1994,166.17,1672,139.33,40014,3334.50,16175,1347.92,0,0.00,8,0.67
281,2,76,38.00,58,29.00,11835,5917.50,871,435.50,0,0.00,12,6.00
282,6,373,62.17,240,40.00,44908,7484.67,8118,1353.00,114,19.00,7,1.17
283,9,2010,223.33,2088,232.00,9007,1000.78,968,107.56,114,12.67,8,0.89
284,4,505,126.25,404,101.00,16642,4160.50,4839,1209.75,103,25.75,2,0.50
285,5,385,77.00,229,45.80,17607,3521.40,5629,1125.80,114,22.80,14,2.80
286,8,922,115.25,259,32.38,17148,2143.50,7737,967.12,0,0.00,10,1.25
287,3,397,132.33,335,111.67,10187,3395.67,1353,451.00,180,60.00,1,0.33
288,10,1242,124.20,893,89.30,53499,5349.90,4964,496.40,0,0.00,60,6.00
289,10,1260,126.00,1056,105.60,47584,4758.40,6468,646.80,0,0.00,10,1.00
290,12,1329,110.75,397,33.08,36349,3029.08,17394,1449.50,84,7.00,16,1.33
291,1,117,117.00,83,83.00,2344,2344.00,234,234.00,0,0.00,0,0.00
292,3,473,157.67,398,132.67,4070,1356.67,349,116.33,0,0.00,5,1.67
293,2,337,168.50,278,139.00,3952,1976.00,383,191.50,114,57.00,1,0.50
294,22,3331,151.41,1192,54.18,62909,2859.50,32879,1494.50,0,0.00,2,0.09
295,7,1222,174.57,277,39.57,28271,4038.71,4882,697.43,0,0.00,6,0.86
296,10,1408,140.80,948,94.80,43674,4367.40,8780,878.00,106,10.60,2,0.20
297,13,2420,186.15,1380,106.15,39292,3022.46,24233,1864.08,103,7.92,8,0.62
298,4,218,54.50,211,52.75,25431,6357.75,4135,1033.75,106,26.50,12,3.00
299,11,2503,227.55,2386,216.91,30881,2807.36,15362,1396.55,0,0.00,0,0.00
301,5,1433,286.60,1505,301.00,0,0.00,0,0.00,0,0.00,0,0.00
302,1,13,13.00,12,12.00,8401,8401.00,1348,1348.00,0,0.00,2,2.00
303,2,372,186.00,236,118.00,16855,8427.50,3520,1760.00,0,0.00,0,0.00
304,3,283,94.33,65,21.67,15385,5128.33,1526,508.67,0,0.00,6,2.00
305,2,102,51.00,50,25.00,16881,8440.50,3316,1658.00,106,53.00,2,1.00
306,7,1488,212.57,922,131.71,38196,5456.57,33863,4837.57,99,14.14,0,0.00
307,2,338,169.00,217,108.50,8248,4124.00,4524,2262.00,114,57.00,1,0.50
308,2,436,218.00,146,73.00,14321,7160.50,3741,1870.50,0,0.00,0,0.00
309,1,146,146.00,43,43.00,1656,1656.00,1003,1003.00,0,0.00,0,0.00
310,3,132,44.00,113,37.67,12256,4085.33,2986,995.33,255,85.00,3,1.00
311,1,45,45.00,36,36.00,6355,6355.00,447,447.00,0,0.00,6,6.00
312,7,607,86.71,286,40.86,72103,10300.43,5450,778.57,76,10.86,10,1.43
313,10,1351,135.10,1167,116.70,49402,4940.20,6555,655.50,114,11.40,1,0.10
314,2,114,57.00,129,64.50,6209,3104.50,896,448.00,0,0.00,0,0.00
315,1,30,30.00,34,34.00,2104,2104.00,231,231.00,114,114.00,1,1.00
