tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
30,52,910,17.50,734,14.12,6340,121.92,280,5.38,0,0.00,0,0.00
31,6,156,26.00,129,21.50,730,121.67,51,8.50,0,0.00,0,0.00
32,1,53,53.00,27,27.00,43,43.00,8,8.00,0,0.00,0,0.00
33,16,225,14.06,146,9.12,11678,729.88,167,10.44,0,0.00,0,0.00
34,6,217,36.17,201,33.50,2525,420.83,463,77.17,0,0.00,0,0.00
35,14,624,44.57,584,41.71,1214,86.71,72,5.14,0,0.00,0,0.00
36,4,136,34.00,201,50.25,257,64.25,19,4.75,0,0.00,0,0.00
37,5,120,24.00,98,19.60,1979,395.80,346,69.20,0,0.00,0,0.00
38,2,167,83.50,102,51.00,22,11.00,0,0.00,0,0.00,0,0.00
40,5,70,14.00,90,18.00,740,148.00,0,0.00,0,0.00,0,0.00
41,15,1074,71.60,987,65.80,488,32.53,91,6.07,0,0.00,0,0.00
43,2,86,43.00,154,77.00,0,0.00,0,0.00,0,0.00,0,0.00
44,2,42,21.00,56,28.00,640,320.00,107,53.50,0,0.00,0,0.00
46,3,126,42.00,106,35.33,331,110.33,0,0.00,0,0.00,0,0.00
47,3,96,32.00,115,38.33,1092,364.00,150,50.00,0,0.00,0,0.00
48,11,613,55.73,638,58.00,550,50.00,0,0.00,0,0.00,0,0.00
49,123,7495,60.93,9800,79.67,0,0.00,0,0.00,0,0.00,0,0.00
50,12,230,19.17,240,20.00,3950,329.17,320,26.67,0,0.00,0,0.00
51,7,275,39.29,321,45.86,1092,156.00,100,14.29,0,0.00,0,0.00
52,1,89,89.00,88,88.00,84,84.00,9,9.00,0,0.00,0,0.00
53,2,133,66.50,218,109.00,296,148.00,52,26.00,0,0.00,0,0.00
54,47,1278,27.19,1242,26.43,10962,233.23,414,8.81,0,0.00,0,0.00
55,9,226,25.11,221,24.56,1678,186.44,18,2.00,0,0.00,0,0.00
56,4,180,45.00,167,41.75,647,161.75,1,0.25,0,0.00,0,0.00
57,7,323,46.14,328,46.86,2064,294.86,216,30.86,0,0.00,0,0.00
58,4,222,55.50,232,58.00,609,152.25,87,21.75,0,0.00,0,0.00
60,4,70,17.50,50,12.50,1460,365.00,130,32.50,0,0.00,0,0.00
62,1,22,22.00,38,38.00,289,289.00,0,0.00,0,0.00,0,0.00
63,1,31,31.00,22,22.00,434,434.00,80,80.00,0,0.00,0,0.00
64,3,120,40.00,112,37.33,684,228.00,36,12.00,0,0.00,0,0.00
68,2,114,57.00,76,38.00,700,350.00,70,35.00,0,0.00,0,0.00
69,42,1472,35.05,1311,31.21,12167,289.69,506,12.05,0,0.00,0,0.00
70,13,407,31.31,337,25.92,4805,369.62,796,61.23,0,0.00,0,0.00
72,10,327,32.70,382,38.20,3177,317.70,127,12.70,0,0.00,0,0.00
73,2,33,16.50,31,15.50,615,307.50,100,50.00,0,0.00,0,0.00
74,2,96,48.00,50,25.00,424,212.00,56,28.00,0,0.00,0,0.00
75,53,2241,42.28,1977,37.30,17570,331.51,885,16.70,0,0.00,0,0.00
76,6,233,38.83,158,26.33,1525,254.17,75,12.50,0,0.00,0,0.00
77,2,82,41.00,82,41.00,396,198.00,0,0.00,0,0.00,0,0.00
78,12316,1581709,128.43,1725723,140.12,218921393,17775.36,91214358,7406.17,2480400,201.40,936,0.08
79,7,458,65.43,388,55.43,1816,259.43,108,15.43,0,0.00,0,0.00
80,3,119,39.67,127,42.33,806,268.67,18,6.00,0,0.00,0,0.00
82,2,85,42.50,100,50.00,396,198.00,19,9.50,0,0.00,0,0.00
83,1,73,73.00,33,33.00,420,420.00,90,90.00,0,0.00,0,0.00
84,3,138,46.00,112,37.33,1062,354.00,54,18.00,0,0.00,0,0.00
85,4,153,38.25,198,49.50,1369,342.25,11,2.75,0,0.00,0,0.00
87,123,4618,37.54,4385,35.65,42014,341.58,888,7.22,0,0.00,0,0.00
88,5,140,28.00,207,41.40,3741,748.20,234,46.80,0,0.00,0,0.00
89,1,156,156.00,63,63.00,216,216.00,18,18.00,0,0.00,0,0.00
90,15,558,37.20,446,29.73,9204,613.60,1086,72.40,0,0.00,0,0.00
91,4,124,31.00,120,30.00,3030,757.50,180,45.00,0,0.00,0,0.00
92,6,229,38.17,299,49.83,2245,374.17,49,8.17,0,0.00,0,0.00
93,3,91,30.33,106,35.33,1450,483.33,150,50.00,0,0.00,0,0.00
94,5,380,76.00,309,61.80,1450,290.00,94,18.80,0,0.00,0,0.00
95,1,65,65.00,35,35.00,390,390.00,50,50.00,0,0.00,0,0.00
97,2,174,87.00,126,63.00,1068,534.00,122,61.00,0,0.00,0,0.00
98,4,179,44.75,258,64.50,1175,293.75,0,0.00,0,0.00,0,0.00
99,5,310,62.00,264,52.80,2303,460.60,122,24.40,0,0.00,0,0.00
100,7,252,36.00,282,40.29,2937,419.57,30,4.29,0,0.00,0,0.00
105,1,55,55.00,77,77.00,495,495.00,1,1.00,0,0.00,0,0.00
107,1,54,54.00,79,79.00,367,367.00,0,0.00,0,0.00,0,0.00
108,6,150,25.00,104,17.33,8016,1336.00,802,133.67,0,0.00,0,0.00
109,1,54,54.00,36,36.00,756,756.00,144,144.00,0,0.00,0,0.00
110,2,179,89.50,138,69.00,1918,959.00,490,245.00,0,0.00,0,0.00
113,3,154,51.33,159,53.00,1944,648.00,18,6.00,0,0.00,0,0.00
115,15,607,40.47,714,47.60,11052,736.80,1010,67.33,0,0.00,0,0.00
116,6,734,122.33,280,46.67,4411,735.17,23,3.83,0,0.00,0,0.00
117,1,63,63.00,15,15.00,1404,1404.00,219,219.00,0,0.00,0,0.00
118,2,181,90.50,123,61.50,1411,705.50,259,129.50,0,0.00,0,0.00
119,1,62,62.00,87,87.00,525,525.00,0,0.00,0,0.00,0,0.00
120,3,168,56.00,158,52.67,1932,644.00,300,100.00,0,0.00,0,0.00
121,1,50,50.00,49,49.00,671,671.00,117,117.00,0,0.00,0,0.00
122,1,38,38.00,47,47.00,362,362.00,45,45.00,0,0.00,0,0.00
123,4,342,85.50,248,62.00,4017,1004.25,1087,271.75,0,0.00,0,0.00
124,1,101,101.00,124,124.00,0,0.00,0,0.00,0,0.00,0,0.00
125,14,600,42.86,700,50.00,11100,792.86,1000,71.43,0,0.00,0,0.00
126,16,804,50.25,642,40.12,12558,784.88,2222,138.88,0,0.00,0,0.00
127,1,56,56.00,37,37.00,774,774.00,144,144.00,0,0.00,0,0.00
128,2,80,40.00,103,51.50,1603,801.50,128,64.00,0,0.00,0,0.00
129,2,134,67.00,81,40.50,1855,927.50,18,9.00,0,0.00,0,0.00
130,1,80,80.00,50,50.00,1610,1610.00,570,570.00,0,0.00,0,0.00
131,1,39,39.00,39,39.00,719,719.00,0,0.00,0,0.00,0,0.00
133,1,87,87.00,64,64.00,851,851.00,46,46.00,0,0.00,0,0.00
134,1,80,80.00,83,83.00,1512,1512.00,18,18.00,0,0.00,0,0.00
135,1,75,75.00,45,45.00,1220,1220.00,0,0.00,0,0.00,0,0.00
136,6,370,61.67,555,92.50,2088,348.00,0,0.00,0,0.00,0,0.00
138,4,276,69.00,166,41.50,3248,812.00,481,120.25,0,0.00,0,0.00
140,1,48,48.00,146,146.00,805,805.00,0,0.00,0,0.00,0,0.00
142,1,54,54.00,45,45.00,687,687.00,150,150.00,0,0.00,0,0.00
144,3,231,77.00,160,53.33,1682,560.67,121,40.33,0,0.00,0,0.00
145,25,1741,69.64,1426,57.04,26537,1061.48,742,29.68,0,0.00,0,0.00
146,1,50,50.00,144,144.00,921,921.00,0,0.00,0,0.00,0,0.00
147,116,7203,62.09,7007,60.41,68159,587.58,1372,11.83,0,0.00,0,0.00
148,3,252,84.00,179,59.67,2578,859.33,175,58.33,0,0.00,0,0.00
149,2,178,89.00,103,51.50,1668,834.00,274,137.00,0,0.00,0,0.00
150,3,150,50.00,100,33.33,2750,916.67,325,108.33,0,0.00,0,0.00
151,3,278,92.67,152,50.67,2816,938.67,552,184.00,0,0.00,0,0.00
153,3,145,48.33,135,45.00,2229,743.00,30,10.00,0,0.00,0,0.00
155,1,35,35.00,60,60.00,985,985.00,0,0.00,0,0.00,0,0.00
156,134,24330,181.57,22943,171.22,34866,260.19,4441,33.14,0,0.00,0,0.00
159,1,105,105.00,82,82.00,872,872.00,136,136.00,0,0.00,0,0.00
160,4,217,54.25,195,48.75,6358,1589.50,469,117.25,0,0.00,0,0.00
161,13,744,57.23,512,39.38,15842,1218.62,2726,209.69,0,0.00,0,0.00
162,6,503,83.83,210,35.00,7308,1218.00,964,160.67,0,0.00,0,0.00
163,2,323,161.50,182,91.00,2478,1239.00,346,173.00,0,0.00,0,0.00
164,2,154,77.00,85,42.50,1670,835.00,348,174.00,0,0.00,0,0.00
168,1,93,93.00,68,68.00,1050,1050.00,200,200.00,0,0.00,0,0.00
169,2,105,52.50,128,64.00,2121,1060.50,0,0.00,0,0.00,0,0.00
174,1,87,87.00,58,58.00,1218,1218.00,232,232.00,0,0.00,0,0.00
175,7,500,71.43,300,42.86,7450,1064.29,1700,242.86,0,0.00,0,0.00
176,6,615,102.50,731,121.83,2940,490.00,98,16.33,0,0.00,0,0.00
177,1,78,78.00,53,53.00,1050,1050.00,375,375.00,0,0.00,0,0.00
178,3,233,77.67,153,51.00,3747,1249.00,534,178.00,0,0.00,0,0.00
179,3,302,100.67,187,62.33,4163,1387.67,138,46.00,0,0.00,0,0.00
180,1,36,36.00,18,18.00,828,828.00,36,36.00,0,0.00,0,0.00
183,1,78,78.00,53,53.00,1720,1720.00,0,0.00,0,0.00,0,0.00
184,2,184,92.00,115,57.50,3588,1794.00,23,11.50,0,0.00,0,0.00
185,3,271,90.33,189,63.00,4326,1442.00,54,18.00,0,0.00,0,0.00
188,1,73,73.00,73,73.00,978,978.00,0,0.00,0,0.00,0,0.00
190,2,213,106.50,167,83.50,2260,1130.00,186,93.00,0,0.00,0,0.00
191,1,72,72.00,97,97.00,994,994.00,115,115.00,0,0.00,0,0.00
192,1,120,120.00,125,125.00,2142,2142.00,18,18.00,0,0.00,0,0.00
194,6,509,84.83,631,105.17,6143,1023.83,171,28.50,0,0.00,0,0.00
195,1,77,77.00,92,92.00,1512,1512.00,162,162.00,0,0.00,0,0.00
198,1,75,75.00,73,73.00,1075,1075.00,200,200.00,0,0.00,0,0.00
199,2,250,125.00,122,61.00,4289,2144.50,1044,522.00,0,0.00,0,0.00
200,1,100,100.00,50,50.00,925,925.00,0,0.00,0,0.00,0,0.00
201,1,79,79.00,86,86.00,1106,1106.00,270,270.00,0,0.00,0,0.00
203,4,348,87.00,174,43.50,5974,1493.50,667,166.75,0,0.00,0,0.00
205,2,210,105.00,140,70.00,2420,1210.00,790,395.00,0,0.00,0,0.00
206,1,96,96.00,60,60.00,1675,1675.00,3,3.00,0,0.00,0,0.00
207,5,437,87.40,184,36.80,9154,1830.80,1127,225.40,0,0.00,0,0.00
212,1,18,18.00,7,7.00,4202,4202.00,696,696.00,100,100.00,4,4.00
213,1,190,190.00,73,73.00,1366,1366.00,257,257.00,0,0.00,0,0.00
215,2,246,123.00,164,82.00,2508,1254.00,762,381.00,0,0.00,0,0.00
216,1,234,234.00,54,54.00,2484,2484.00,1872,1872.00,0,0.00,0,0.00
223,1,312,312.00,312,312.00,2436,2436.00,0,0.00,0,0.00,0,0.00
225,7,1315,187.86,303,43.29,15156,2165.14,1500,214.29,0,0.00,0,0.00
226,1,45,45.00,109,109.00,1286,1286.00,0,0.00,0,0.00,0,0.00
228,1,83,83.00,59,59.00,2820,2820.00,220,220.00,0,0.00,0,0.00
230,1,70,70.00,10,10.00,2780,2780.00,910,910.00,0,0.00,0,0.00
231,1,77,77.00,59,59.00,1765,1765.00,162,162.00,0,0.00,0,0.00
232,2,174,87.00,116,58.00,3828,1914.00,638,319.00,0,0.00,0,0.00
234,12474,1386672,111.16,1225967,98.28,11720847,939.62,265914,21.32,0,0.00,2652,0.21
235,4,430,107.50,252,63.00,9263,2315.75,1023,255.75,0,0.00,0,0.00
237,1,49,49.00,25,25.00,1101,1101.00,54,54.00,0,0.00,0,0.00
239,1,96,96.00,53,53.00,991,991.00,168,168.00,0,0.00,0,0.00
240,1,141,141.00,116,116.00,1324,1324.00,215,215.00,0,0.00,0,0.00
243,2,217,108.50,203,101.50,5081,2540.50,250,125.00,0,0.00,0,0.00
245,29,3136,108.14,2744,94.62,52234,1801.17,1715,59.14,0,0.00,0,0.00
246,1,138,138.00,84,84.00,2196,2196.00,0,0.00,0,0.00,0,0.00
250,1,50,50.00,25,25.00,1150,1150.00,50,50.00,0,0.00,0,0.00
252,2,455,227.50,156,78.00,3625,1812.50,174,87.00,0,0.00,0,0.00
254,1,74,74.00,74,74.00,1457,1457.00,77,77.00,0,0.00,0,0.00
261,11,1363,123.91,464,42.18,23258,2114.36,4437,403.36,0,0.00,0,0.00
267,1,121,121.00,119,119.00,1855,1855.00,375,375.00,0,0.00,0,0.00
275,2,275,137.50,125,62.50,5400,2700.00,1300,650.00,0,0.00,0,0.00
