tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,10503,17451,1.66,18477,1.76,1997336,190.17,1001986,95.40,28842,2.75,18,0.00
2,7480,24527,3.28,26808,3.58,3809279,509.26,1273901,170.31,35462,4.74,19,0.00
3,7447,10470,1.41,9092,1.22,86423,11.61,1843,0.25,0,0.00,2,0.00
4,1519,4636,3.05,4393,2.89,21418,14.10,106,0.07,0,0.00,7,0.00
5,639,1269,1.99,1249,1.95,20133,31.51,1264,1.98,0,0.00,0,0.00
6,8716,25264,2.90,22188,2.55,221539,25.42,6490,0.74,0,0.00,66,0.01
7,245,1441,5.88,579,2.36,12864,52.51,2108,8.60,0,0.00,0,0.00
8,227,1375,6.06,898,3.96,11193,49.31,401,1.77,0,0.00,6,0.03
9,220,954,4.34,524,2.38,14257,64.80,3186,14.48,0,0.00,0,0.00
10,871,3989,4.58,3409,3.91,55981,64.27,5467,6.28,0,0.00,16,0.02
11,91,395,4.34,291,3.20,8383,92.12,964,10.59,0,0.00,4,0.04
12,77,600,7.79,502,6.52,4410,57.27,1102,14.31,0,0.00,0,0.00
13,52,322,6.19,152,2.92,5875,112.98,1828,35.15,0,0.00,0,0.00
14,290,3094,10.67,1423,4.91,28623,98.70,6791,23.42,0,0.00,2,0.01
15,45,408,9.07,241,5.36,3403,75.62,2086,46.36,0,0.00,0,0.00
16,81,568,7.01,523,6.46,11738,144.91,447,5.52,0,0.00,10,0.12
17,40,360,9.00,189,4.72,5826,145.65,2456,61.40,0,0.00,0,0.00
18,214,1761,8.23,910,4.25,26771,125.10,11720,54.77,0,0.00,2,0.01
19,66,409,6.20,200,3.03,15771,238.95,4209,63.77,0,0.00,0,0.00
20,30,306,10.20,220,7.33,4854,161.80,1148,38.27,0,0.00,4,0.13
21,19,191,10.05,86,4.53,3362,176.95,2099,110.47,0,0.00,4,0.21
22,203,988,4.87,1502,7.40,53741,264.73,3878,19.10,0,0.00,2,0.01
23,45,569,12.64,303,6.73,9486,210.80,5015,111.44,0,0.00,0,0.00
24,36,509,14.14,414,11.50,9826,272.94,1098,30.50,0,0.00,0,0.00
25,17,217,12.76,71,4.18,7542,443.65,3479,204.65,0,0.00,0,0.00
26,39,469,12.03,254,6.51,17602,451.33,3212,82.36,0,0.00,0,0.00
27,25,317,12.68,86,3.44,9180,367.20,5618,224.72,0,0.00,0,0.00
28,17,343,20.18,308,18.12,4765,280.29,1270,74.71,0,0.00,0,0.00
29,40,611,15.28,100,2.50,52489,1312.22,12117,302.93,0,0.00,0,0.00
30,30,552,18.40,348,11.60,6689,222.97,3505,116.83,0,0.00,8,0.27
31,10,150,15.00,10,1.00,1930,193.00,4060,406.00,0,0.00,0,0.00
32,10,292,29.20,281,28.10,1608,160.80,304,30.40,0,0.00,0,0.00
33,9,109,12.11,37,4.11,4878,542.00,1847,205.22,0,0.00,0,0.00
34,87,694,7.98,371,4.26,18037,207.32,4414,50.74,0,0.00,114,1.31
35,8,83,10.38,37,4.62,3683,460.38,2196,274.50,0,0.00,4,0.50
36,6,165,27.50,136,22.67,1354,225.67,1218,203.00,0,0.00,0,0.00
37,12,224,18.67,141,11.75,6582,548.50,2373,197.75,0,0.00,2,0.17
38,38,578,15.21,301,7.92,18716,492.53,6828,179.68,0,0.00,10,0.26
39,3,44,14.67,33,11.00,1438,479.33,390,130.00,0,0.00,1,0.33
40,10,128,12.80,62,6.20,6135,613.50,869,86.90,0,0.00,0,0.00
41,5,58,11.60,23,4.60,4786,957.20,314,62.80,0,0.00,0,0.00
42,85,408,4.80,302,3.55,16946,199.36,4032,47.44,0,0.00,16,0.19
43,15,238,15.87,87,5.80,12331,822.07,4065,271.00,0,0.00,0,0.00
44,14,279,19.93,216,15.43,7221,515.79,1576,112.57,0,0.00,0,0.00
45,6,100,16.67,48,8.00,6581,1096.83,2484,414.00,0,0.00,0,0.00
46,50,1715,34.30,1324,26.48,23454,469.08,9777,195.54,0,0.00,3,0.06
47,16,244,15.25,99,6.19,14171,885.69,2771,173.19,0,0.00,3,0.19
48,31,327,10.55,141,4.55,26360,850.32,4331,139.71,0,0.00,0,0.00
49,5,82,16.40,38,7.60,5593,1118.60,252,50.40,0,0.00,0,0.00
50,17,447,26.29,229,13.47,9597,564.53,6497,382.18,0,0.00,4,0.24
51,5,160,32.00,117,23.40,6295,1259.00,967,193.40,0,0.00,0,0.00
52,13,209,16.08,75,5.77,14580,1121.54,4534,348.77,0,0.00,6,0.46
53,2,29,14.50,13,6.50,2073,1036.50,475,237.50,0,0.00,0,0.00
54,50,893,17.86,391,7.82,48282,965.64,12839,256.78,0,0.00,0,0.00
55,4,51,12.75,18,4.50,3945,986.25,180,45.00,0,0.00,2,0.50
56,5,176,35.20,138,27.60,1829,365.80,1319,263.80,0,0.00,1,0.20
57,14,390,27.86,292,20.86,9812,700.86,2165,154.64,0,0.00,2,0.14
58,22,726,33.00,154,7.00,58982,2681.00,14962,680.09,0,0.00,0,0.00
59,2,28,14.00,10,5.00,2227,1113.50,187,93.50,0,0.00,0,0.00
60,10,54,5.40,13,1.30,7322,732.20,1858,185.80,0,0.00,2,0.20
61,6,134,22.33,130,21.67,1974,329.00,244,40.67,0,0.00,3,0.50
62,15,370,24.67,64,4.27,14546,969.73,8692,579.47,0,0.00,0,0.00
63,8,160,20.00,64,8.00,10216,1277.00,4048,506.00,0,0.00,0,0.00
64,12,229,19.08,89,7.42,14377,1198.08,4376,364.67,0,0.00,2,0.17
65,4,44,11.00,13,3.25,3967,991.75,597,149.25,0,0.00,0,0.00
66,14,371,26.50,149,10.64,15662,1118.71,7682,548.71,0,0.00,0,0.00
67,9,177,19.67,60,6.67,10179,1131.00,2938,326.44,0,0.00,2,0.22
68,3,63,21.00,5,1.67,2666,888.67,1899,633.00,0,0.00,0,0.00
69,4,70,17.50,58,14.50,3970,992.50,422,105.50,0,0.00,2,0.50
70,6,254,42.33,106,17.67,6700,1116.67,6492,1082.00,0,0.00,0,0.00
71,2,34,17.00,4,2.00,3042,1521.00,334,167.00,0,0.00,2,1.00
72,4,132,33.00,88,22.00,3468,867.00,1288,322.00,0,0.00,0,0.00
73,11,279,25.36,83,7.55,14342,1303.82,11135,1012.27,0,0.00,0,0.00
74,11,424,38.55,225,20.45,13528,1229.82,9069,824.45,0,0.00,0,0.00
75,5,220,44.00,50,10.00,14569,2913.80,13286,2657.20,0,0.00,0,0.00
