tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,1715086,2115426,1.23,1623045,0.95,5319769,3.10,0,0.00,0,0.00
2,337247,367826,1.09,608236,1.80,3008662,8.92,2651,0.01,379,0.00
3,108398,169246,1.56,144445,1.33,1677741,15.48,92113,0.85,1907,0.02
4,10408,15720,1.51,9823,0.94,166252,15.97,4726,0.45,903,0.09
5,29742,58892,1.98,24944,0.84,939612,31.59,69926,2.35,3305,0.11
6,5059,12988,2.57,12887,2.55,281059,55.56,45823,9.06,165,0.03
7,10095,31788,3.15,7439,0.74,467540,46.31,72338,7.17,8397,0.83
8,3412,10925,3.20,5043,1.48,279731,81.98,21098,6.18,2323,0.68
9,9803,30444,3.11,5077,0.52,740073,75.49,84538,8.62,3855,0.39
10,2004,3606,1.80,2711,1.35,224946,112.25,4644,2.32,40,0.02
11,4623,9143,1.98,4576,0.99,512994,110.97,22698,4.91,3529,0.76
12,2557,12106,4.73,3776,1.48,317983,124.36,78403,30.66,511,0.20
13,1787,6903,3.86,1675,0.94,285997,160.04,28105,15.73,543,0.30
14,1145,2375,2.07,1448,1.26,183241,160.04,4295,3.75,3537,3.09
15,1379,6588,4.78,1495,1.08,212900,154.39,45974,33.34,2370,1.72
16,2545,7641,3.00,2915,1.15,494954,194.48,33688,13.24,7015,2.76
17,2303,7286,3.16,3758,1.63,490021,212.78,51802,22.49,5204,2.26
18,729,3487,4.78,731,1.00,236759,324.77,22666,31.09,1703,2.34
19,1223,4714,3.85,1333,1.09,290041,237.16,28964,23.68,3375,2.76
20,455,655,1.44,455,1.00,83890,184.37,5714,12.56,16,0.04
21,1107,11278,10.19,3419,3.09,490675,443.25,88868,80.28,1726,1.56
22,2221,2817,1.27,1782,0.80,490394,220.80,34215,15.41,2492,1.12
23,1136,3585,3.16,1494,1.32,245684,216.27,25083,22.08,1806,1.59
24,742,1670,2.25,742,1.00,248777,335.28,33809,45.56,159,0.21
25,401,1429,3.56,1342,3.35,148385,370.04,22627,56.43,5092,12.70
26,383,702,1.83,535,1.40,122145,318.92,8250,21.54,88,0.23
27,372,4399,11.83,1098,2.95,192793,518.26,33724,90.66,16,0.04
28,4,60,15.00,22,5.50,1356,339.00,1288,322.00,0,0.00
29,89,1132,12.72,374,4.20,39091,439.22,18805,211.29,504,5.66
30,361,2183,6.05,361,1.00,71742,198.73,13587,37.64,2016,5.58
31,172,1109,6.45,169,0.98,92493,537.75,22727,132.13,1981,11.52
32,362,3618,9.99,720,1.99,264303,730.12,62199,171.82,200,0.55
33,56,456,8.14,144,2.57,37292,665.93,5996,107.07,24,0.43
34,18,62,3.44,27,1.50,11849,658.28,904,50.22,80,4.44
35,17,135,7.94,49,2.88,12690,746.47,3061,180.06,44,2.59
36,339,4287,12.65,894,2.64,226049,666.81,99421,293.28,380,1.12
37,447,3535,7.91,715,1.60,266349,595.86,104736,234.31,3024,6.77
38,42,225,5.36,47,1.12,28704,683.43,5156,122.76,29,0.69
39,7,208,29.71,55,7.86,6053,864.71,5266,752.29,0,0.00
40,376,2705,7.19,382,1.02,299248,795.87,27822,73.99,1063,2.83
41,518,3278,6.33,1688,3.26,154634,298.52,35741,69.00,6953,13.42
42,365,5454,14.94,5,0.01,148248,406.16,121154,331.93,14801,40.55
43,122,2283,18.71,970,7.95,118161,968.53,40196,329.48,594,4.87
44,15,66,4.40,15,1.00,11442,762.80,2291,152.73,32,2.13
45,780,8715,11.17,826,1.06,591589,758.45,167173,214.32,17605,22.57
46,520,10245,19.70,4339,8.34,416492,800.95,230224,442.74,498,0.96
47,109,2050,18.81,490,4.50,104287,956.76,30549,280.27,186,1.71
48,363,3708,10.21,1445,3.98,366549,1009.78,46012,126.75,439,1.21
49,729,1745,2.39,783,1.07,861464,1181.71,24852,34.09,5478,7.51
50,51,1380,27.06,709,13.90,60162,1179.65,31966,626.78,80,1.57
51,4,100,25.00,50,12.50,2256,564.00,3719,929.75,116,29.00
52,437,4616,10.56,508,1.16,298192,682.36,54655,125.07,908,2.08
53,2,104,52.00,50,25.00,2362,1181.00,5256,2628.00,0,0.00
54,363,2087,5.75,374,1.03,576703,1588.71,18946,52.19,2104,5.80
55,361,6823,18.90,359,0.99,732219,2028.31,146033,404.52,5728,15.87
56,9,64,7.11,11,1.22,12777,1419.67,1822,202.44,59,6.56
57,159,3920,24.65,1350,8.49,199912,1257.31,80029,503.33,733,4.61
58,4,35,8.75,6,1.50,5457,1364.25,1246,311.50,49,12.25
59,412,3330,8.08,433,1.05,422984,1026.66,54464,132.19,10208,24.78
60,382,1176,3.08,382,1.00,354041,926.81,70576,184.75,150,0.39
61,68,625,9.19,264,3.88,31746,466.85,5784,85.06,128,1.88
62,9,121,13.44,18,2.00,15366,1707.33,3442,382.44,60,6.67
64,11,44,4.00,19,1.73,16357,1487.00,1376,125.09,62,5.64
65,360,1528,4.24,372,1.03,232838,646.77,39309,109.19,242,0.67
66,62,400,6.45,71,1.15,90146,1453.97,15593,251.50,346,5.58
67,56,1543,27.55,365,6.52,84878,1515.68,35536,634.57,66,1.18
68,371,2319,6.25,1454,3.92,347911,937.77,36993,99.71,11688,31.50
69,1,53,53.00,11,11.00,2179,2179.00,1362,1362.00,0,0.00
70,8,124,15.50,8,1.00,19968,2496.00,4468,558.50,0,0.00
71,7,135,19.29,19,2.71,8525,1217.86,2528,361.14,396,56.57
72,7,110,15.71,7,1.00,17882,2554.57,4197,599.57,70,10.00
73,2,102,51.00,8,4.00,1869,934.50,1355,677.50,72,36.00
74,12,168,14.00,19,1.58,33019,2751.58,6339,528.25,0,0.00
75,2,7,3.50,0,0.00,5534,2767.00,574,287.00,146,73.00
76,9,154,17.11,9,1.00,25870,2874.44,5551,616.78,50,5.56
77,41,1248,30.44,303,7.39,66560,1623.41,30106,734.29,165,4.02
78,274,1158,4.23,274,1.00,470591,1717.49,55012,200.77,133,0.49
80,7,110,15.71,11,1.57,20038,2862.57,4329,618.43,33,4.71
81,69,825,11.96,383,5.55,41609,603.03,11466,166.17,700,10.14
82,4,85,21.25,12,3.00,9893,2473.25,3512,878.00,65,16.25
83,1,66,66.00,10,10.00,3018,3018.00,1630,1630.00,0,0.00
84,12,140,11.67,32,2.67,38637,3219.75,4284,357.00,66,5.50
85,263,4460,16.96,1048,3.98,407421,1549.13,286449,1089.16,186,0.71
86,273,917,3.36,805,2.95,1059617,3881.38,28534,104.52,1696,6.21
87,52,518,9.96,128,2.46,112339,2160.37,17096,328.77,2751,52.90
88,15,173,11.53,34,2.27,36162,2410.80,6940,462.67,263,17.53
89,13,173,13.31,25,1.92,27007,2077.46,4652,357.85,880,67.69
90,5,225,45.00,27,5.40,12807,2561.40,12531,2506.20,0,0.00
91,300,8700,29.00,3000,10.00,433376,1444.59,353439,1178.13,343,1.14
92,2,50,25.00,2,1.00,7094,3547.00,2312,1156.00,0,0.00
93,4,50,12.50,10,2.50,16465,4116.25,2036,509.00,273,68.25
95,19,246,12.95,42,2.21,43650,2297.37,8919,469.42,154,8.11
96,4,308,77.00,52,13.00,12552,3138.00,8983,2245.75,0,0.00
97,7,248,35.43,50,7.14,11377,1625.29,9657,1379.57,192,27.43
99,7,388,55.43,59,8.43,20071,2867.29,10494,1499.14,306,43.71
100,4,124,31.00,17,4.25,18794,4698.50,4616,1154.00,98,24.50
101,53,880,16.60,312,5.89,34696,654.64,8106,152.94,732,13.81
102,5,250,50.00,50,10.00,21909,4381.80,7980,1596.00,0,0.00
103,3,306,102.00,54,18.00,7458,2486.00,11328,3776.00,0,0.00
104,7,181,25.86,48,6.86,25482,3640.29,6931,990.14,156,22.29
105,264,17830,67.54,3152,11.94,876930,3321.70,751643,2847.13,862,3.27
106,5,101,20.20,33,6.60,26528,5305.60,3758,751.60,86,17.20
107,8,316,39.50,77,9.62,21973,2746.62,11252,1406.50,105,13.12
108,3,9,3.00,5,1.67,5585,1861.67,296,98.67,211,70.33
109,4,150,37.50,12,3.00,20546,5136.50,4471,1117.75,0,0.00
110,277,5540,20.00,1662,6.00,1410097,5090.60,142556,514.64,856,3.09
111,2,220,110.00,38,19.00,5342,2671.00,8820,4410.00,0,0.00
112,7,218,31.14,39,5.57,20652,2950.29,8744,1249.14,92,13.14
113,3,45,15.00,3,1.00,13901,4633.67,1381,460.33,224,74.67
115,1,23,23.00,5,5.00,1977,1977.00,2374,2374.00,0,0.00
116,8,24,3.00,24,3.00,26076,3259.50,897,112.12,589,73.62
117,368,10484,28.49,467,1.27,1915801,5205.98,371811,1010.36,9929,26.98
118,1,100,100.00,18,18.00,4271,4271.00,4074,4074.00,0,0.00
119,2,4,2.00,10,5.00,17540,8770.00,1260,630.00,0,0.00
120,1,101,101.00,17,17.00,4060,4060.00,2849,2849.00,0,0.00
121,40,720,18.00,280,7.00,31828,795.70,8363,209.07,552,13.80
122,1,14,14.00,0,0.00,4052,4052.00,592,592.00,118,118.00
124,10,844,84.40,146,14.60,48354,4835.40,37314,3731.40,2,0.20
126,2,2,1.00,2,1.00,3676,1838.00,816,408.00,0,0.00
127,88,2280,25.91,734,8.34,494335,5617.44,57396,652.23,656,7.45
130,3,112,37.33,21,7.00,8485,2828.33,5007,1669.00,230,76.67
132,3,104,34.67,21,7.00,9544,3181.33,5075,1691.67,0,0.00
133,1,10,10.00,0,0.00,6329,6329.00,512,512.00,129,129.00
136,1,122,122.00,22,22.00,7020,7020.00,7977,7977.00,0,0.00
137,4,224,56.00,56,14.00,11956,2989.00,10244,2561.00,0,0.00
138,2,123,61.50,22,11.00,7314,3657.00,4550,2275.00,0,0.00
139,1,2,2.00,0,0.00,6080,6080.00,411,411.00,137,137.00
140,6,702,117.00,132,22.00,30970,5161.67,30741,5123.50,248,41.33
141,486,12635,26.00,3548,7.30,1003534,2064.88,562150,1156.69,29565,60.83
142,1,118,118.00,21,21.00,5088,5088.00,4475,4475.00,26,26.00
144,2,264,132.00,21,10.50,6164,3082.00,7963,3981.50,143,71.50
145,4,182,45.50,22,5.50,12560,3140.00,13170,3292.50,430,107.50
146,232,7707,33.22,1304,5.62,939624,4050.10,451510,1946.16,1101,4.75
147,387,4915,12.70,3293,8.51,1749738,4521.29,172079,444.65,24711,63.85
148,3,128,42.67,24,8.00,9663,3221.00,7005,2335.00,0,0.00
151,622,5230,8.41,7356,11.83,3146180,5058.17,504842,811.64,33290,53.52
152,49,6272,128.00,1127,23.00,276991,5652.88,320898,6548.94,532,10.86
153,4,64,16.00,8,2.00,32495,8123.75,6180,1545.00,93,23.25
154,239,11903,49.80,4046,16.93,594111,2485.82,809083,3385.28,975,4.08
156,4,516,129.00,92,23.00,23199,5799.75,25409,6352.25,100,25.00
157,37,2368,64.00,592,16.00,126785,3426.62,119337,3225.32,286,7.73
158,5,671,134.20,123,24.60,30265,6053.00,36429,7285.80,0,0.00
160,7,824,117.71,138,19.71,41958,5994.00,49924,7132.00,158,22.57
161,27,556,20.59,339,12.56,34107,1263.22,13265,491.30,1686,62.44
162,8,1112,139.00,192,24.00,48777,6097.12,65580,8197.50,28,3.50
163,1,13,13.00,0,0.00,8355,8355.00,766,766.00,159,159.00
164,5,690,138.00,125,25.00,31194,6238.80,37103,7420.60,2,0.40
166,8,445,55.62,79,9.88,33942,4242.75,26528,3316.00,663,82.88
167,1,146,146.00,25,25.00,6437,6437.00,10520,10520.00,0,0.00
168,11,1584,144.00,270,24.55,69917,6356.09,88045,8004.09,330,30.00
170,359,4439,12.36,2532,7.05,2876125,8011.49,211057,587.90,14056,39.15
172,13,1346,103.54,242,18.62,90839,6987.62,76741,5903.15,175,13.46
174,10,1357,135.70,237,23.70,62855,6285.50,79218,7921.80,132,13.20
175,2,10,5.00,0,0.00,20420,10210.00,1670,835.00,346,173.00
176,3,456,152.00,75,25.00,20292,6764.00,30057,10019.00,0,0.00
178,2,306,153.00,53,26.50,13746,6873.00,19247,9623.50,0,0.00
179,1,96,96.00,33,33.00,3108,3108.00,2480,2480.00,160,160.00
180,4,616,154.00,106,26.50,27638,6909.50,34261,8565.25,94,23.50
181,19,488,25.68,196,10.32,32644,1718.11,8619,453.63,1056,55.58
182,42,6184,147.24,1018,24.24,301905,7188.21,415776,9899.43,590,14.05
183,1,13,13.00,0,0.00,2067,2067.00,52,52.00,182,182.00
184,9,1432,159.11,238,26.44,64253,7139.22,95662,10629.11,15,1.67
185,262,2882,11.00,786,3.00,3753195,14325.17,242549,925.76,42324,161.54
186,1,160,160.00,31,31.00,7323,7323.00,10705,10705.00,0,0.00
188,48,7460,155.42,1248,26.00,341018,7104.54,482410,10050.21,1245,25.94
190,3,495,165.00,81,27.00,22269,7423.00,34062,11354.00,0,0.00
191,95,190,2.00,1615,17.00,1096986,11547.22,165825,1745.53,452,4.76
