tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,30960,37771,1.22,31205,1.01,98606,3.18,0,0.00,0,0.00
2,3372,3764,1.12,6271,1.86,30407,9.02,20,0.01,0,0.00
3,3987,5875,1.47,4928,1.24,61114,15.33,2560,0.64,16,0.00
4,110,107,0.97,141,1.28,2418,21.98,25,0.23,6,0.05
5,817,1366,1.67,664,0.81,23167,28.36,1899,2.32,28,0.03
6,23,61,2.65,40,1.74,1038,45.13,210,9.13,10,0.43
7,183,550,3.01,192,1.05,8368,45.73,2374,12.97,34,0.19
8,48,39,0.81,44,0.92,1654,34.46,26,0.54,14,0.29
9,58,160,2.76,47,0.81,3878,66.86,392,6.76,21,0.36
10,10,16,1.60,8,0.80,908,90.80,27,2.70,18,1.80
11,35,84,2.40,51,1.46,4113,117.51,123,3.51,0,0.00
12,17,72,4.24,17,1.00,1702,100.12,493,29.00,0,0.00
13,10,47,4.70,12,1.20,1738,173.80,265,26.50,12,1.20
14,8,27,3.38,7,0.88,1780,222.50,99,12.38,9,1.12
15,16,50,3.12,14,0.88,1526,95.38,350,21.88,28,1.75
16,9,15,1.67,10,1.11,1846,205.11,75,8.33,0,0.00
17,147,459,3.12,292,1.99,36556,248.68,4340,29.52,0,0.00
18,60,74,1.23,60,1.00,10702,178.37,367,6.12,818,13.63
19,6,41,6.83,14,2.33,1602,267.00,504,84.00,18,3.00
20,2,13,6.50,2,1.00,671,335.50,120,60.00,0,0.00
21,6,46,7.67,23,3.83,1845,307.50,625,104.17,0,0.00
22,11,27,2.45,8,0.73,968,88.00,37,3.36,42,3.82
23,19,107,5.63,30,1.58,6736,354.53,1636,86.11,0,0.00
24,23,98,4.26,23,1.00,9199,399.96,1610,70.00,0,0.00
25,10,54,5.40,24,2.40,3858,385.80,1017,101.70,24,2.40
26,4,14,3.50,4,1.00,1570,392.50,232,58.00,22,5.50
27,5,70,14.00,20,4.00,2431,486.20,1127,225.40,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,41,141,3.44,29,0.71,28177,687.24,2101,51.24,936,22.83
32,2,19,9.50,2,1.00,1189,594.50,406,203.00,31,15.50
33,26,192,7.38,64,2.46,16861,648.50,2942,113.15,23,0.88
34,3,25,8.33,3,1.00,1992,664.00,548,182.67,33,11.00
35,12,71,5.92,28,2.33,9483,790.25,1802,150.17,16,1.33
36,3,23,7.67,2,0.67,943,314.33,534,178.00,57,19.00
37,12,149,12.42,47,3.92,7538,628.17,3280,273.33,72,6.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,7,63,9.00,7,1.00,4908,701.14,1323,189.00,0,0.00
41,9,81,9.00,36,4.00,5455,606.11,2775,308.33,112,12.44
42,2,25,12.50,2,1.00,1618,809.00,712,356.00,41,20.50
43,22,270,12.27,38,1.73,19338,879.00,4020,182.73,200,9.09
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,3,70,23.33,23,7.67,2366,788.67,2823,941.00,19,6.33
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
47,18,218,12.11,46,2.56,12375,687.50,3965,220.28,46,2.56
48,1,22,22.00,1,1.00,521,521.00,924,924.00,0,0.00
49,3,96,32.00,24,8.00,1714,571.33,4395,1465.00,0,0.00
50,2,26,13.00,2,1.00,1167,583.50,1035,517.50,46,23.00
51,1,50,50.00,25,25.00,1139,1139.00,2438,2438.00,0,0.00
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,59,29.50,27,13.50,1371,685.50,2648,1324.00,0,0.00
57,3,26,8.67,6,2.00,5453,1817.67,495,165.00,112,37.33
59,2,13,6.50,5,2.50,2361,1180.50,114,57.00,64,32.00
60,11,33,3.00,11,1.00,10153,923.00,2002,182.00,0,0.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,4,87,21.75,14,3.50,7579,1894.75,2989,747.25,25,6.25
68,2,5,2.50,1,0.50,2458,1229.00,270,135.00,67,33.50
74,1,2,2.00,0,0.00,1732,1732.00,153,153.00,73,73.00
76,1,14,14.00,1,1.00,3458,3458.00,360,360.00,0,0.00
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
81,2,52,26.00,4,2.00,5057,2528.50,1833,916.50,0,0.00
82,1,15,15.00,1,1.00,218,218.00,25,25.00,76,76.00
86,1,1,1.00,1,1.00,1176,1176.00,28,28.00,82,82.00
87,24,82,3.42,28,1.17,53965,2248.54,3416,142.33,1505,62.71
88,2,9,4.50,6,3.00,2397,1198.50,273,136.50,61,30.50
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
95,1,7,7.00,1,1.00,1960,1960.00,130,130.00,94,94.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,1,18,18.00,1,1.00,4959,4959.00,639,639.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,60,60.00,104,104.00
109,2,76,38.00,6,3.00,10236,5118.00,2286,1143.00,0,0.00
113,1,2,2.00,0,0.00,4256,4256.00,70,70.00,112,112.00
114,6,36,6.00,18,3.00,15384,2564.00,948,158.00,0,0.00
116,1,3,3.00,0,0.00,4374,4374.00,479,479.00,115,115.00
120,1,24,24.00,1,1.00,2462,2462.00,365,365.00,55,55.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
127,1,52,52.00,13,13.00,2765,2765.00,2196,2196.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,64,64.00,126,126.00
131,1,3,3.00,3,3.00,10057,10057.00,1020,1020.00,0,0.00
134,1,29,29.00,4,4.00,4146,4146.00,1385,1385.00,31,31.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,76,76.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
151,1,26,26.00,6,6.00,7213,7213.00,1170,1170.00,0,0.00
153,2,32,16.00,4,2.00,17980,8990.00,3460,1730.00,0,0.00
166,2,2,1.00,2,1.00,4674,2337.00,860,430.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
192,1,30,30.00,0,0.00,4351,4351.00,492,492.00,191,191.00
196,2,57,28.50,10,5.00,12401,6200.50,2824,1412.00,195,97.50
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,2877,2877.00,1128,1128.00,204,204.00
210,1,3,3.00,1,1.00,2958,2958.00,188,188.00,206,206.00
213,1,18,18.00,9,9.00,12293,12293.00,3205,3205.00,0,0.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1608,804.00,222,111.00
238,1,6,6.00,5,5.00,20982,20982.00,2130,2130.00,0,0.00
240,1,2,2.00,0,0.00,10588,10588.00,1204,1204.00,239,239.00
246,1,1,1.00,1,1.00,3336,3336.00,1632,1632.00,242,242.00
248,1,2,2.00,1,1.00,3417,3417.00,232,232.00,244,244.00
249,2,34,17.00,15,7.50,10361,5180.50,1782,891.00,330,165.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
266,1,1,1.00,1,1.00,3606,3606.00,272,272.00,262,262.00
268,1,46,46.00,1,1.00,14542,14542.00,5274,5274.00,242,242.00
272,1,4,4.00,1,1.00,4117,4117.00,2060,2060.00,0,0.00
288,2,4,2.00,2,1.00,7914,3957.00,2592,1296.00,568,284.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,13990,6995.00,17632,8816.00,252,126.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,17400,17400.00,7481,7481.00,290,290.00
325,1,56,56.00,12,12.00,15879,15879.00,4566,4566.00,29,29.00
328,1,2,2.00,1,1.00,4497,4497.00,368,368.00,324,324.00
329,1,31,31.00,8,8.00,1427,1427.00,217,217.00,328,328.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
334,1,18,18.00,11,11.00,44348,44348.00,4334,4334.00,0,0.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,456,456.00,346,346.00
364,1,62,62.00,1,1.00,20258,20258.00,10076,10076.00,338,338.00
